city,type,bed,bath,garage,sqft,pool,spa,price
Long Beach,,0,1,,513,,NA,119000
Long Beach,,0,1,,550,,NA,153000
Long Beach,,0,1,,550,,NA,205000
Long Beach,,0,1,1,1030,,NA,3.00E+05
Long Beach,,0,1,1,1526,,NA,375000
Long Beach,,1,1,,552,,NA,159900
Long Beach,,1,1,,558,,NA,135000
Long Beach,,1,1,,596,,NA,105000
Long Beach,,1,1,,744,,NA,167000
Long Beach,,1,1,,750,,NA,134900
Long Beach,,1,1,,750,,NA,145000
Long Beach,,1,1,,791,,NA,219900
Long Beach,,1,1,,798,,NA,195000
Long Beach,,1,1,1,671,,NA,120000
Long Beach,,1,1,1,796,,NA,179900
Long Beach,,1,1,1,935,,NA,239000
Long Beach,,1,1,1,1006,,NA,360000
Long Beach,,1,1,1,1431,,NA,5.00E+05
Long Beach,,1,1,2,926,,NA,339000
Long Beach,,1,1,2,1209,,NA,580000
Long Beach,,1,1,2,1620,,NA,419900
Long Beach,,1,1,2,1924,,NA,394900
Long Beach,,1,1,2,1970,,NA,619000
Long Beach,,1,2,1,1310,,NA,359900
Long Beach,,1,2,1,1450,,NA,325000
Long Beach,,1,2,1,1450,,NA,329900
Long Beach,,1,2,2,1077,,NA,325000
Long Beach,,2,1,,1133,,NA,325000
Long Beach,,2,1,,2374,,NA,799000
Long Beach,,2,1,2,1620,,NA,418000
Long Beach,,2,1,2,2019,,NA,420000
Long Beach,,2,2,1,868,,NA,240000
Long Beach,,2,2,1,1050,,NA,318800
Long Beach,,2,2,1,1241,,NA,299500
Long Beach,,4,4,,3636,,NA,349900
Long Beach,,6,3,,2554,,NA,379900
Long Beach,Condo/Twh,0,1,,462,,NA,138900
Long Beach,Condo/Twh,0,1,,475,,NA,120000
Long Beach,Condo/Twh,0,1,,527,,NA,179000
Long Beach,Condo/Twh,0,1,,702,,NA,236900
Long Beach,Condo/Twh,0,1,2,650,,NA,217900
Long Beach,Condo/Twh,1,1,,403,,NA,139950
Long Beach,Condo/Twh,1,1,,426,,NA,135000
Long Beach,Condo/Twh,1,1,,560,,NA,135000
Long Beach,Condo/Twh,1,1,,561,,NA,273500
Long Beach,Condo/Twh,1,1,,590,,NA,215000
Long Beach,Condo/Twh,1,1,,590,,NA,259900
Long Beach,Condo/Twh,1,1,,597,,NA,130000
Long Beach,Condo/Twh,1,1,,599,,NA,350000
Long Beach,Condo/Twh,1,1,,600,,NA,183900
Long Beach,Condo/Twh,1,1,,617,,NA,104990
Long Beach,Condo/Twh,1,1,,628,,NA,119000
Long Beach,Condo/Twh,1,1,,628,,NA,285000
Long Beach,Condo/Twh,1,1,,631,,NA,215000
Long Beach,Condo/Twh,1,1,,633,,NA,175000
Long Beach,Condo/Twh,1,1,,635,,NA,243000
Long Beach,Condo/Twh,1,1,,664,,NA,109000
Long Beach,Condo/Twh,1,1,,667,,NA,199900
Long Beach,Condo/Twh,1,1,,667,,NA,350000
Long Beach,Condo/Twh,1,1,,670,,NA,155900
Long Beach,Condo/Twh,1,1,,680,,NA,239000
Long Beach,Condo/Twh,1,1,,693,,NA,220000
Long Beach,Condo/Twh,1,1,,693,,NA,229900
Long Beach,Condo/Twh,1,1,,693,,NA,245000
Long Beach,Condo/Twh,1,1,,700,,NA,125000
Long Beach,Condo/Twh,1,1,,707,,NA,185000
Long Beach,Condo/Twh,1,1,,710,,NA,195000
Long Beach,Condo/Twh,1,1,,739,,NA,179000
Long Beach,Condo/Twh,1,1,,741,,NA,165000
Long Beach,Condo/Twh,1,1,,745,,NA,199900
Long Beach,Condo/Twh,1,1,,745,,NA,2.00E+05
Long Beach,Condo/Twh,1,1,,751,,NA,221000
Long Beach,Condo/Twh,1,1,,752,,NA,225900
Long Beach,Condo/Twh,1,1,,772,,NA,169000
Long Beach,Condo/Twh,1,1,,779,,NA,124900
Long Beach,Condo/Twh,1,1,,787,,NA,167000
Long Beach,Condo/Twh,1,1,,792,,NA,109000
Long Beach,Condo/Twh,1,1,,811,,NA,145000
Long Beach,Condo/Twh,1,1,,839,,NA,335000
Long Beach,Condo/Twh,1,1,,864,,NA,249000
Long Beach,Condo/Twh,1,1,,981,,NA,216000
Long Beach,Condo/Twh,1,1,,1069,,NA,330000
Long Beach,Condo/Twh,1,1,1,530,,NA,175000
Long Beach,Condo/Twh,1,1,1,540,,NA,165000
Long Beach,Condo/Twh,1,1,1,590,,NA,236900
Long Beach,Condo/Twh,1,1,1,592,,NA,175000
Long Beach,Condo/Twh,1,1,1,597,,NA,130000
Long Beach,Condo/Twh,1,1,1,597,,NA,140000
Long Beach,Condo/Twh,1,1,1,597,,NA,149900
Long Beach,Condo/Twh,1,1,1,597,,NA,150000
Long Beach,Condo/Twh,1,1,1,600,,NA,244900
Long Beach,Condo/Twh,1,1,1,600,,NA,279900
Long Beach,Condo/Twh,1,1,1,600,,NA,285000
Long Beach,Condo/Twh,1,1,1,600,,NA,325000
Long Beach,Condo/Twh,1,1,1,607,,NA,150000
Long Beach,Condo/Twh,1,1,1,613,,NA,119000
Long Beach,Condo/Twh,1,1,1,632,,NA,129000
Long Beach,Condo/Twh,1,1,1,660,,NA,110000
Long Beach,Condo/Twh,1,1,1,660,,NA,112900
Long Beach,Condo/Twh,1,1,1,661,,NA,150000
Long Beach,Condo/Twh,1,1,1,672,,NA,379995
Long Beach,Condo/Twh,1,1,1,680,,NA,204900
Long Beach,Condo/Twh,1,1,1,680,,NA,235000
Long Beach,Condo/Twh,1,1,1,680,,NA,239000
Long Beach,Condo/Twh,1,1,1,680,,NA,249000
