rank,male,female,year
1,John,Mary,1880
2,William,Anna,1880
3,James,Emma,1880
4,Charles,Elizabeth,1880
5,George,Minnie,1880
6,Frank,Margaret,1880
7,Joseph,Ida,1880
8,Thomas,Alice,1880
9,Henry,Bertha,1880
10,Robert,Sarah,1880
11,Edward,Annie,1880
12,Harry,Clara,1880
13,Walter,Ella,1880
14,Arthur,Florence,1880
15,Fred,Cora,1880
16,Albert,Martha,1880
17,Samuel,Laura,1880
18,David,Nellie,1880
19,Louis,Grace,1880
20,Joe,Carrie,1880
1,John,Mary,1881
2,William,Anna,1881
3,James,Emma,1881
4,George,Elizabeth,1881
5,Charles,Margaret,1881
6,Frank,Minnie,1881
7,Joseph,Ida,1881
8,Henry,Annie,1881
9,Thomas,Bertha,1881
10,Edward,Alice,1881
11,Robert,Clara,1881
12,Harry,Sarah,1881
13,Walter,Ella,1881
14,Arthur,Nellie,1881
15,Fred,Grace,1881
16,Albert,Florence,1881
17,Samuel,Martha,1881
18,David,Cora,1881
19,Louis,Laura,1881
20,Charlie,Carrie,1881
1,John,Mary,1882
2,William,Anna,1882
3,James,Emma,1882
4,George,Elizabeth,1882
5,Charles,Minnie,1882
6,Frank,Margaret,1882
7,Joseph,Ida,1882
8,Thomas,Alice,1882
9,Henry,Bertha,1882
10,Robert,Annie,1882
11,Edward,Clara,1882
12,Harry,Sarah,1882
13,Walter,Florence,1882
14,Arthur,Martha,1882
15,Fred,Ella,1882
16,Albert,Grace,1882
17,Samuel,Laura,1882
18,Louis,Bessie,1882
19,David,Nellie,1882
20,Clarence,Maude,1882
1,John,Mary,1883
2,William,Anna,1883
3,James,Emma,1883
4,Charles,Elizabeth,1883
5,George,Minnie,1883
6,Frank,Margaret,1883
7,Joseph,Bertha,1883
8,Henry,Ida,1883
9,Robert,Annie,1883
10,Thomas,Clara,1883
11,Edward,Alice,1883
12,Harry,Sarah,1883
13,Walter,Grace,1883
14,Arthur,Florence,1883
15,Fred,Martha,1883
16,Albert,Ella,1883
17,Samuel,Nellie,1883
18,Clarence,Bessie,1883
19,Louis,Laura,1883
20,David,Ethel,1883
1,John,Mary,1884
2,William,Anna,1884
3,James,Emma,1884
4,George,Elizabeth,1884
5,Charles,Minnie,1884
6,Frank,Margaret,1884
7,Joseph,Ida,1884
8,Thomas,Clara,1884
9,Henry,Bertha,1884
10,Robert,Annie,1884
11,Edward,Alice,1884
12,Harry,Florence,1884
13,Walter,Grace,1884
14,Arthur,Sarah,1884
15,Fred,Bessie,1884
16,Albert,Martha,1884
17,Samuel,Nellie,1884
18,Clarence,Ethel,1884
19,Louis,Ella,1884
20,Grover,Mabel,1884
1,John,Mary,1885
2,William,Anna,1885
