name,id,align,eye,hair,gender,gsm,alive,appearances,first_appear,publisher
Spider-Man (Peter Parker),Secret,Good,Hazel Eyes,Brown Hair,Male,NA,Living Characters,4043,Aug-62,marvel
Captain America (Steven Rogers),Public,Good,Blue Eyes,White Hair,Male,NA,Living Characters,3360,Mar-41,marvel
"Wolverine (James \""Logan\"" Howlett)",Public,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,3061,Oct-74,marvel
"Iron Man (Anthony \""Tony\"" Stark)",Public,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,2961,Mar-63,marvel
Thor (Thor Odinson),No Dual,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,2258,Nov-50,marvel
Benjamin Grimm (Earth-616),Public,Good,Blue Eyes,No Hair,Male,NA,Living Characters,2255,Nov-61,marvel
Reed Richards (Earth-616),Public,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,2072,Nov-61,marvel
Hulk (Robert Bruce Banner),Public,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,2017,May-62,marvel
Scott Summers (Earth-616),Public,Neutral,Brown Eyes,Brown Hair,Male,NA,Living Characters,1955,Sep-63,marvel
Jonathan Storm (Earth-616),Public,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,1934,Nov-61,marvel
Henry McCoy (Earth-616),Public,Good,Blue Eyes,Blue Hair,Male,NA,Living Characters,1825,Sep-63,marvel
Susan Storm (Earth-616),Public,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,1713,Nov-61,marvel
Namor McKenzie (Earth-616),No Dual,Neutral,Green Eyes,Black Hair,Male,NA,Living Characters,1528,NA,marvel
Ororo Munroe (Earth-616),Public,Good,Blue Eyes,White Hair,Female,NA,Living Characters,1512,May-75,marvel
Clinton Barton (Earth-616),Public,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,1394,Sep-64,marvel
Matthew Murdock (Earth-616),Public,Good,Blue Eyes,Red Hair,Male,NA,Living Characters,1338,Apr-64,marvel
Stephen Strange (Earth-616),Public,Good,Grey Eyes,Black Hair,Male,NA,Living Characters,1307,Jul-63,marvel
Mary Jane Watson (Earth-616),No Dual,Good,Green Eyes,Red Hair,Female,NA,Living Characters,1304,Jun-65,marvel
John Jonah Jameson (Earth-616),No Dual,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,1266,Mar-63,marvel
Robert Drake (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,1265,Sep-63,marvel
Henry Pym (Earth-616),Public,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,1237,Jan-62,marvel
Charles Xavier (Earth-616),Public,Good,Blue Eyes,Bald,Male,NA,Deceased Characters,1233,Sep-63,marvel
Warren Worthington III (Earth-616),Public,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,1230,Sep-63,marvel
Piotr Rasputin (Earth-616),Secret,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,1162,May-75,marvel
Wanda Maximoff (Earth-616),Public,Good,Green Eyes,Brown Hair,Female,NA,Living Characters,1161,Mar-64,marvel
Nicholas Fury (Earth-616),No Dual,Neutral,Brown Eyes,Brown Hair,Male,NA,Living Characters,1137,May-63,marvel
Janet van Dyne (Earth-616),Public,Good,Blue Eyes,Auburn Hair,Female,NA,Living Characters,1120,Jun-63,marvel
Jean Grey (Earth-616),Public,Good,Green Eyes,Red Hair,Female,NA,Deceased Characters,1107,Sep-63,marvel
Natalia Romanova (Earth-616),Public,Good,Green Eyes,Red Hair,Female,Bisexual Characters,Living Characters,1050,Apr-64,marvel
Kurt Wagner (Earth-616),Secret,Good,Yellow Eyes,Blue Hair,Male,NA,Living Characters,1047,May-75,marvel
Vision (Earth-616),Secret,Good,Gold Eyes,No Hair,Male,NA,Living Characters,1007,Oct-68,marvel
May Reilly (Earth-616),No Dual,Good,Blue Eyes,Grey Hair,Female,NA,Living Characters,1000,Aug-62,marvel
Katherine Pryde (Earth-616),Secret,Good,Hazel Eyes,Brown Hair,Female,NA,Living Characters,886,Jan-80,marvel
Carol Danvers (Earth-616),Public,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,881,Mar-68,marvel
Jennifer Walters (Earth-616),Public,Good,Green Eyes,Brown Hair,Female,NA,Living Characters,881,Feb-80,marvel
Emma Frost (Earth-616),Public,Neutral,Blue Eyes,Brown Hair,Female,NA,Living Characters,880,Jan-80,marvel
Frank Castle (Earth-616),Public,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,878,Feb-74,marvel
Luke Cage (Earth-616),No Dual,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,856,Jun-72,marvel
Rogue (Anna Marie) (Earth-616),Secret,Good,Green Eyes,Auburn Hair,Female,NA,Living Characters,850,NA,marvel
Conan (Earth-616),No Dual,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,787,Oct-70,marvel
Joseph Robertson (Earth-616),No Dual,Good,Brown Eyes,White Hair,Male,NA,Living Characters,752,Aug-67,marvel
Pietro Maximoff (Earth-616),Public,Good,Blue Eyes,Silver Hair,Male,NA,Living Characters,740,Mar-64,marvel
Hercules (Earth-616),No Dual,Good,Blue Eyes,Brown Hair,Male,Bisexual Characters,Living Characters,725,Oct-65,marvel
Victor von Doom (Earth-616),Public,Bad,Brown Eyes,Brown Hair,Male,NA,Living Characters,721,Jul-62,marvel
Max Eisenhardt (Earth-616),Public,Neutral,Grey Eyes,Bald,Male,NA,Living Characters,709,Sep-63,marvel
Elizabeth Braddock (Earth-616),Secret,Neutral,Blue Eyes,Purple Hair,Female,Bisexual Characters,Living Characters,708,Dec-76,marvel
