,GEOID,county state,name,state,individual income,POPULATION SIZE,white,african american,age,age under 5,age 85 plus,age 18 plus,age 65 plus,travel time,household size,family size,one unit structure,two unit structure,mobile and other,individual income 25 plus,hs grad,college grad,total households,spanish speaking,indo european language,api language,non euro api,limited english,poverty,poverty 18,poverty 65,household income mean,per capita income,household income median,veterans,unemployment 20 64,uninsured,uninsured 6,uninsured 19,uninsured 65,computers,smartphones,broadband
1,1001,"Autauga County, Alabama",Autauga County, Alabama,36446,59285,73.6,20,39.2,5.8,1.3,76.5,16,NA,2.61,3.16,8.9,14.5,74.9,47719,90.3,28.3,22523,2.4,1,0.8,0.1,0.5,10.7,12.9,6.2,93367,36227,69841,10.4,2.4,7.4,0.3,2.7,0.3,76.1,89.2,90.9
2,1003,"Baldwin County, Alabama",Baldwin County, Alabama,36552,239945,82.8,8,43.7,5.2,2,78.7,21.4,NA,2.5,3.05,13,11.2,77.5,47748,91.7,32.8,94642,3.5,1.9,0.5,0.2,0.8,10.5,14.4,7.2,100105,40775,75019,11,3.1,8.2,2,4.9,1,78.2,90.4,89.8
3,1005,"Barbour County, Alabama",Barbour County, Alabama,25891,24757,44,46.9,40.7,5.6,1.6,79.1,19.7,NA,2.39,2.99,15.5,25.5,67.5,34557,77.8,11.5,9080,6,1.1,0.6,0.3,2.5,NA,NA,NA,64745,25439,44290,7.2,5.6,10.8,2.9,4.7,0,58.7,84.1,72.3
4,1007,"Bibb County, Alabama",Bibb County, Alabama,25758,22152,75.1,20.7,41.3,4.8,1,79.9,17,NA,2.74,3.36,7.9,29.9,77.2,34001,80.3,11.5,7571,2,0,0.3,0,0.7,NA,NA,NA,67735,26022,51215,6.7,10,8.3,1.5,1.5,0,61.3,83.6,81.2
5,1009,"Blount County, Alabama",Blount County, Alabama,31174,59292,89.5,1.3,40.9,5.7,1.6,76.8,18.6,35.3,2.67,3.2,5.5,24.5,79.5,42663,82.7,15.6,21977,6.9,0.7,0.2,0.1,1.8,14.1,17.5,14.5,79203,30656,61096,6.4,5.6,10.2,3.4,2.2,0,68.4,87,83.9
6,1011,"Bullock County, Alabama",Bullock County, Alabama,21312,10157,22.9,71.2,40.4,5.4,1.8,79.3,17.9,NA,2.64,3.45,18,45,63.5,31328,74,9,3453,6.7,0.7,0,0.3,1,NA,NA,NA,51121,21462,36723,4.7,3.1,12.9,1.5,1.3,0,59.3,73.4,65
7,1013,"Butler County, Alabama",Butler County, Alabama,24998,18807,51.2,44.7,42.2,5.7,1.8,77.6,21.4,24.4,2.55,3.29,13.2,21,68.4,36420,87.6,13.8,7262,2.1,1.1,0.2,0,0.5,NA,NA,NA,69162,28306,44881,6.5,6.9,12.3,0,6.2,0.6,58.3,80.3,79.8
8,1015,"Calhoun County, Alabama",Calhoun County, Alabama,29222,116141,71,22,39,5.6,1.5,78.6,18,NA,2.48,3.16,12.4,14.1,70.4,39654,86.1,20.5,45125,2.9,1,0.7,0.1,1,17.5,22.9,11,71879,29571,55826,8.3,5.8,11.1,2.2,3.4,0.4,68,87.6,85.3
9,1017,"Chambers County, Alabama",Chambers County, Alabama,27775,34450,55.4,39.8,41.5,5.8,1.9,79.3,20,NA,2.52,3.13,12.9,14.8,71,38845,83.6,14.6,13419,2.6,0.9,1.1,0.2,1.1,15.5,21,12.1,65673,27868,49295,7.3,4.6,12.2,5.2,4.6,0.9,59.2,84.4,78.8
10,1019,"Cherokee County, Alabama",Cherokee County, Alabama,30356,25224,91.3,3.8,47.4,4.7,1.9,81.2,23.8,NA,2.38,2.98,4.3,23.5,79.5,42186,83.9,15.9,10477,2.5,0.7,0.4,0,1.4,NA,NA,NA,71062,31360,50769,7,3,9,0.8,1.4,0.6,60.9,82.6,80.2
