ID ,Age Cohort,Age,Gender,Expenditures,Ethnicity
10210,13-17,17,Female,2113 ,White not Hispanic
10409,22-50,37,Male,41924 ,White not Hispanic
10486, 0 - 5,3,Male,1454,Hispanic
10538,18-21,19,Female,6400 ,Hispanic
10568,13-17,13,Male,4412 ,White not Hispanic
10690,13-17,15,Female,4566 ,Hispanic
10711,13-17,13,Female,3915 ,White not Hispanic
10778,13-17,17,Male,3873 ,Black
10820,13-17,14,Female,5021 ,White not Hispanic
10823,13-17,13,Male,2887 ,Hispanic
11000,13-17,13,Female,4154 ,White not Hispanic
11024,13-17,14,Male,3048 ,Hispanic
11115,13-17,15,Female,2757 ,White not Hispanic
11189,13-17,17,Male,5340 ,Multi Race
11201,18-21,20,Male,10047 ,Hispanic
11210,22-50,25,Female,34795 ,Black
11379,22-50,23,Female,43025 ,White not Hispanic
11380,22-50,41,Male,54115 ,Asian
11441, 0 - 5,5,Female,1748,Hispanic
11466,13-17,15,Female,4515 ,Hispanic
11812, 0 - 5,5,Male,1861,Hispanic
11842, 0 - 5,5,Male,1598,Hispanic
11922,22-50,22,Female,46571 ,Hispanic
11935, 0 - 5,3,Male,1066,Hispanic
12127,13-17,16,Female,3867 ,Black
12137, 51 +,71,Female,57928 ,White not Hispanic
12207,13-17,13,Female,4002 ,White not Hispanic
12530,18-21,18,Female,10434 ,Asian
12589, 51 +,63,Female,56134 ,White not Hispanic
12834, 0 - 5,1,Male,1070,White not Hispanic
12850,13-17,13,Male,3775 ,Multi Race
12990,22-50,27,Female,35284 ,White not Hispanic
13119,18-21,21,Male,7219 ,White not Hispanic
13120,13-17,14,Male,4681 ,White not Hispanic
13195,13-17,15,Female,4629 ,Asian
13621, 0 - 5,3,Female,2750,White not Hispanic
13692,13-17,15,Female,3392 ,Asian
13722,13-17,14,Male,5696 ,Black
13826,22-50,30,Female,46660 ,White not Hispanic
14233,6-12,6,Female,2354 ,Hispanic
14367,22-50,33,Male,40781 ,White not Hispanic
14427,6-12,10,Female,2559 ,Black
14520,22-50,25,Female,36428 ,White not Hispanic
14523, 0 - 5,3,Male,674,Hispanic
14648,22-50,26,Male,39844 ,Asian
14653,13-17,17,Male,4046 ,White not Hispanic
14665,22-50,33,Male,36184 ,White not Hispanic
14845,13-17,16,Male,4968 ,Hispanic
15034,22-50,24,Male,36901 ,White not Hispanic
15060, 51 +,63,Female,50419 ,White not Hispanic
15111, 0 - 5,1,Female,340,White not Hispanic
15205,22-50,24,Female,42192 ,Black
15366, 51 +,75,Female,49239 ,White not Hispanic
15422,22-50,27,Male,36057 ,White not Hispanic
15448,6-12,8,Female,2895 ,Hispanic
15487,22-50,24,Male,31512 ,White not Hispanic
15778,6-12,10,Female,1915 ,Hispanic
15801,13-17,16,Male,4091 ,Hispanic
15888,13-17,13,Male,4798 ,Hispanic
15970, 51 +,51,Female,54267 ,White not Hispanic
16048,6-12,6,Female,1783 ,Asian
16052,13-17,16,Female,3212 ,Hispanic
16306,13-17,15,Female,2029 ,White not Hispanic
16440,22-50,22,Male,37727 ,White not Hispanic
16515,18-21,20,Male,11998 ,Hispanic
16525,22-50,45,Male,50304 ,Hispanic
16981, 0 - 5,5,Female,1130,Hispanic
17191,22-50,24,Female,45412 ,White not Hispanic
17276,22-50,32,Male,38310 ,Hispanic
