site,date,flow
Wildwood Creek Spring,12/9/2017,2.49
Wildwood Creek Spring,2/9/2018,1.24
Wildwood Creek Spring,3/9/2018,1.09
Wildwood Creek Spring,4/5/2018,0.95
Wildwood Creek Spring,5/11/2018,0.49
Wildwood Creek Spring,7/10/2018,0.06
Wildwood Creek Spring,8/9/2018,0.09
Wildwood Creek Spring,9/12/2018,0.1
Wildwood Creek Spring,10/10/2018,0.11
Wildwood Creek Spring,11/13/2018,0.15
Wildwood Creek Spring,12/7/2018,1.25
Wildwood Creek Spring,1/10/2019,1.83
Wildwood Creek Spring,2/17/2019,0.26
Silver Creek,9/30/2017,0.43
Silver Creek,5/1/2018,0.88
Silver Creek,7/12/2018,0.41
Silver Creek,9/21/2018,0.21
Silver Creek,5/21/2019,0.34
Clarks Creek,8/27/2017,11.4
Clarks Creek,9/4/2017,21.77
Clarks Creek,9/30/2017,20
Clarks Creek,6/26/2018,31.57
Clarks Creek,9/6/2018,23.91
Leach Creek,8/14/2017,11.89
Leach Creek,9/9/2017,11.55
Leach Creek,5/19/2018,16.9
Leach Creek,7/26/2018,4.86
Leach Creek,4/22/2019,7.9
Leach Creek,4/23/2019,10.12
Leach Creek,6/2/2019,6.7
Leach Creek,6/10/2019,7.73
