office,candidate,party,county,votes
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Adair,10
President/Vice President,Under Votes,NA,Adair,32
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Adair,127
President/Vice President,Over Votes,NA,Adair,5
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Adair,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Adair,10
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Adair,1133
President/Vice President,Jill Stein / Ajamu Baraka,Green,Adair,14
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Adair,3
President/Vice President,Donald Trump / Mike Pence,Republican,Adair,2461
President/Vice President,Total,NA,Adair,3848
President/Vice President,Write-In,NA,Adair,38
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Adair,5
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Adair,10
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Adams,6
President/Vice President,Under Votes,NA,Adams,22
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Adams,93
President/Vice President,Over Votes,NA,Adams,3
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Adams,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Adams,13
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Adams,565
President/Vice President,Jill Stein / Ajamu Baraka,Green,Adams,9
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Adams,1
President/Vice President,Donald Trump / Mike Pence,Republican,Adams,1395
President/Vice President,Total,NA,Adams,2131
President/Vice President,Write-In,NA,Adams,22
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Adams,1
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Adams,1
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Allamakee,34
President/Vice President,Under Votes,NA,Allamakee,91
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Allamakee,227
President/Vice President,Over Votes,NA,Allamakee,21
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Allamakee,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Allamakee,35
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Allamakee,2421
President/Vice President,Jill Stein / Ajamu Baraka,Green,Allamakee,46
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Allamakee,1
President/Vice President,Donald Trump / Mike Pence,Republican,Allamakee,4093
President/Vice President,Total,NA,Allamakee,7035
President/Vice President,Write-In,NA,Allamakee,49
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Allamakee,10
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Allamakee,6
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Appanoose,24
President/Vice President,Under Votes,NA,Appanoose,54
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Appanoose,139
President/Vice President,Over Votes,NA,Appanoose,6
