province,city,ahmadinejad,rezai,karrubi,mousavi,total_votes_cast,voided_votes,legitimate_votes
East Azerbaijan,Azar Shahr,37203,453,138,18312,56712,606,56106
East Azerbaijan,Asko,32510,481,468,18799,52643,385,52258
East Azerbaijan,Ahar,47938,568,173,26220,75500,601,74899
East Azerbaijan,Bostan Abad,38610,281,53,12603,51911,364,51547
East Azerbaijan,Bonab,36395,485,190,33695,71389,624,70765
East Azerbaijan,Tabriz,435728,9830,3513,419983,876919,7865,869054
East Azerbaijan,Jalfa,20520,166,74,14340,35295,195,35100
East Azerbaijan,Chahar o Imaq,12197,55,46,3975,16375,102,16273
East Azerbaijan,Sarab,53196,442,211,17669,72152,634,71518
East Azerbaijan,Shabestar,37099,391,126,39182,77459,661,76798
East Azerbaijan,Ajab Sher,28820,238,173,12325,41949,393,41556
East Azerbaijan,Kalibar,21554,197,533,21549,43974,141,43833
East Azerbaijan,Maraqeh,87152,1099,625,48675,138840,1289,137551
East Azerbaijan,Marand,70270,835,320,62792,135437,1220,134217
East Azerbaijan,Malekan,31666,247,99,23327,55394,55,55339
East Azerbaijan,Mianeh,73726,658,278,26653,102077,762,101315
East Azerbaijan,Heris,25950,218,83,12684,39306,371,38935
East Azerbaijan,Hashtrood,19683,171,71,13922,34068,221,33847
East Azerbaijan,Werzqan,20894,105,72,11153,32940,716,32224
West Azerbaijan,Aromia,234600,3727,3544,199682,445344,3791,441553
West Azerbaijan,Ashnoia,8967,320,1091,12690,23899,831,23068
West Azerbaijan,Bokan,16481,796,2579,35833,57863,2174,55689
West Azerbaijan,Poldasht,9989,162,317,9449,20056,139,19917
West Azerbaijan,Piranshahr,11270,759,1774,24486,39424,1135,38289
West Azerbaijan,Takab,23270,265,237,19863,44554,919,43635
West Azerbaijan,Chaldaran,11683,169,259,10613,22920,196,22724
West Azerbaijan,Chaipara,11879,137,108,10762,22999,113,22886
West Azerbaijan,Khoi,85441,1551,702,77900,167130,1536,165594
West Azerbaijan,Sardasht,16737,327,1441,18654,38510,1351,37159
West Azerbaijan,Salmas,43652,782,534,47276,93032,788,92244
West Azerbaijan,Shaheen Dazh,22970,303,285,20244,44690,888,43802
West Azerbaijan,Shoot,11130,140,500,13872,25802,160,25642
West Azerbaijan,Mako,13884,404,684,28451,43729,306,43423
West Azerbaijan,Mahabat,19999,1035,3474,38579,65342,2255,63087
West Azerbaijan,Mian-e do Aab,55575,677,3162,55739,117954,2801,115153
West Azerbaijan,Naqdah,26419,645,918,32415,61108,711,60397
Ardabil,Ardabil,137220,4411,1115,140582,285700,2372,283328
Ardabil,Bila Swar,12310,113,75,13186,25831,147,25684
Ardabil,Pars Abad,31453,322,139,48521,80742,307,80435
Ardabil,Kholkhal,38858,385,124,15757,55534,410,55124
Ardabil,Kowsar,11370,64,84,4803,16391,70,16321
Ardabil,Garmi,20020,279,208,24192,44875,176,44699
Ardabil,Moshgin Shahr,44596,679,230,39292,85346,549,84797
Ardabil,Nameen,19957,232,185,12213,32807,220,32587
Ardabil,Nir,10127,93,159,4279,14779,121,14658
Isfahan,Aran o Bedgul,37703,789,258,17025,57046,1271,55775
Isfahan,Ardestan,23065,244,36,7558,31239,336,30903
Isfahan,Isfahan,666955,22575,7002,389459,1095399,9408,1085991
Isfahan,Barkhwar,51329,516,121,8099,60522,457,60065
Isfahan,Tiran o Koron,39633,354,82,6675,47060,316,46744
Isfahan,Chadgan,20939,386,107,4663,26194,99,26095
Isfahan,Khomenie Shahr,119801,3390,998,32259,158001,1553,156448
Isfahan,Khwansar,17831,236,79,4361,22756,249,22507
Isfahan,Dehqanan,19240,196,69,3863,23572,204,23368
Isfahan,Samiram,33073,331,169,11043,44971,355,44616
Isfahan,Shaheen Shahr,58085,2380,1002,39387,101755,901,100854
Isfahan,Shahreza,58605,1249,529,22061,83689,1245,82444
Isfahan,Fareedan,41821,459,164,9997,52658,217,52441
Isfahan,Fraidoon Shahr,20261,748,224,5220,26626,173,26453
Isfahan,Falawarjan,113028,2644,346,17912,134790,860,133930
Isfahan,Kashaan,127771,3042,734,47740,182031,2744,179287
Isfahan,Gulpaigan,38574,594,228,12938,52836,501,52334
Isfahan,Lanjan,96250,5553,1144,31469,135588,1172,134416
Isfahan,Mobaraka,63628,840,220,14118,79390,584,78806
Isfahan,Nayeen,25899,460,95,8738,35570,378,35192
