state,county,expectancy,income
Alabama,Autauga County,76.06,37773
Alabama,Baldwin County,77.63,40121
Alabama,Barbour County,74.675,31443
Alabama,Bibb County,74.155,29075
Alabama,Blount County,75.88,31663
Alabama,Bullock County,71.79,25929
Alabama,Butler County,73.73,33518
Alabama,Calhoun County,73.3,33418
Alabama,Chambers County,73.245,31282
Alabama,Cherokee County,74.65,32645
Alabama,Chilton County,73.88,31380
Alabama,Choctaw County,75.05,31046
Alabama,Clarke County,74.82,31877
Alabama,Clay County,74.145,32965
Alabama,Cleburne County,74.145,31209
Alabama,Coffee County,76.205,38929
Alabama,Colbert County,74.105,35831
Alabama,Conecuh County,73.73,29643
Alabama,Coosa County,73.88,28651
Alabama,Covington County,74.835,31581
Alabama,Crenshaw County,73.28,34228
Alabama,Cullman County,75.035,35923
Alabama,Dale County,75.715,34107
Alabama,Dallas County,72.005,31595
Alabama,DeKalb County,74.73,29621
Alabama,Elmore County,75.65,37561
Alabama,Escambia County,74.39,30342
Alabama,Etowah County,72.83,34086
Alabama,Fayette County,73.13,30426
Alabama,Franklin County,72.805,31614
Alabama,Geneva County,75.115,32155
Alabama,Greene County,73.94,31029
Alabama,Hale County,72.43,34726
Alabama,Henry County,75.2,35727
Alabama,Houston County,76.205,38284
Alabama,Jackson County,73.485,33930
Alabama,Jefferson County,74.735,47718
Alabama,Lamar County,74.515,30593
Alabama,Lauderdale County,75.825,35189
Alabama,Lawrence County,73.92,32320
Alabama,Lee County,77.545,33622
Alabama,Limestone County,77.045,37260
Alabama,Lowndes County,73.28,37720
Alabama,Macon County,71.79,31191
Alabama,Madison County,77.32,45836
Alabama,Marengo County,73.59,35761
Alabama,Marion County,73.38,28972
Alabama,Marshall County,74.045,32996
Alabama,Mobile County,74.765,35348
Alabama,Monroe County,74.25,30784
Alabama,Montgomery County,75.665,40474
Alabama,Morgan County,75.37,36345
Alabama,Perry County,72.43,29414
Alabama,Pickens County,74.015,30139
Alabama,Pike County,74.41,35323
Alabama,Randolph County,74.135,32119
Alabama,Russell County,72.43,29001
Alabama,St. Clair County,75.42,34400
Alabama,Shelby County,79.12,49212
Alabama,Sumter County,73.94,30695
Alabama,Talladega County,73.33,31805
Alabama,Tallapoosa County,75.53,35942
Alabama,Tuscaloosa County,75.125,36016
Alabama,Walker County,71.625,37056
Alabama,Washington County,74.65,34007
Alabama,Wilcox County,73.59,28128
Alabama,Winston County,73.51,32545
Alaska,Aleutians East Borough,77.93,49611
Alaska,Aleutians West Census Area,77.93,52569
Alaska,Anchorage Municipality,77.93,62728
Alaska,Bethel Census Area,77.93,39827
Alaska,Bristol Bay Borough,77.93,65769
ALASKA,DENALI,77.93,67770
Alaska,Dillingham Census Area,77.93,51969
Alaska,Fairbanks North Star Borough,77.93,54185
Alaska,Haines Borough,77.93,47929
Alaska,Juneau City and Borough,77.93,62694
Alaska,Kenai Peninsula Borough,77.93,52639
ALASKA,KETCHIKAN GATEWAY,77.93,63235
Alaska,Kodiak Island Borough,77.93,58162
Alaska,Lake and Peninsula Borough,77.93,55385
Alaska,Matanuska-Susitna Borough,77.93,46554
Alaska,Nome Census Area,77.93,48805
Alaska,North Slope Borough,77.93,36883
Alaska,Northwest Arctic Borough,77.93,46918
ALASKA,PRINCE OF WALES-OUTE,77.93,NA
Alaska,Sitka City and Borough,77.93,64122
Alaska,Hoonah-Angoon Census Area,77.93,NA
Alaska,Southeast Fairbanks Census Area,77.93,43256
Alaska,Valdez-Cordova Census Area,77.93,63236
Alaska,Wade Hampton Census Area,77.93,NA
Alaska,Ketchikan Gateway Borough,77.93,NA
Alaska,Yakutat City and Borough,77.93,60333
ALASKA,YUKON-KOYUKUK,77.93,51496
Alaska,Denali,77.93,NA
Arizona,Apache County,73.02,29597
Arizona,Cochise County,77.96,38133
Arizona,Coconino County,78.745,41018
Arizona,Gila County,75.905,36066
Arizona,Graham County,76.75,29731
Arizona,Greenlee County,76.75,37240
Arizona,La Paz County,79.9,29963
Arizona,Maricopa County,79.9,42092
Arizona,Mohave County,75.695,29505
Arizona,Navajo County,75.275,29132
Arizona,Pima County,78.865,38536
Arizona,Pinal County,80.26,27682
Arizona,Santa Cruz County,79.34,33646
Arizona,Yavapai County,78.685,35545
Arizona,Yuma County,79.9,31574
Arkansas,Arkansas County,74.705,39643
Arkansas,Ashley County,74.855,32013
Arkansas,Baxter County,76.525,34751
Arkansas,Benton County,78.91,71787
Arkansas,Boone County,76.77,32166
Arkansas,Bradley County,74.96,32522
Arkansas,Calhoun County,74.555,30770
Arkansas,Carroll County,77.215,30526
Arkansas,Chicot County,73.1,32289
Arkansas,Clark County,75.525,31021
Arkansas,Clay County,74.945,32938
Arkansas,Cleburne County,77.26,33379
Arkansas,Cleveland County,74.96,34987
Arkansas,Columbia County,74.84,33601
Arkansas,Conway County,75.495,37053
Arkansas,Craighead County,75.635,34628
Arkansas,Crawford County,75.27,29917
Arkansas,Crittenden County,71.755,34148
Arkansas,Cross County,74.935,34349
Arkansas,Dallas County,74.555,30068
Arkansas,Desha County,73.1,37417
Arkansas,Drew County,75.43,35039
Arkansas,Faulkner County,77.06,34235
Arkansas,Franklin County,76.005,29961
Arkansas,Fulton County,75.505,26116
Arkansas,Garland County,75.35,37090
Arkansas,Grant County,76.255,34323
Arkansas,Greene County,74.935,31588
Arkansas,Hempstead County,74.91,29591
Arkansas,Hot Spring County,75.245,29226
Arkansas,Howard County,73.935,31230
Arkansas,Independence County,75.3,32542
Arkansas,Izard County,75.505,28971
Arkansas,Jackson County,73.65,34387
Arkansas,Jefferson County,74.33,32189
Arkansas,Johnson County,75.485,26218
Arkansas,Lafayette County,73.645,33437
Arkansas,Lawrence County,74.6,30390
Arkansas,Lee County,72.9,25940
Arkansas,Lincoln County,75.43,25003
Arkansas,Little River County,73.935,32686
Arkansas,Logan County,74.55,34032
Arkansas,Lonoke County,75.94,35413
Arkansas,Madison County,75.96,31356
Arkansas,Marion County,76.27,28695
Arkansas,Miller County,74.615,31350
Arkansas,Mississippi County,70.915,31150
Arkansas,Monroe County,72.9,34618
Arkansas,Montgomery County,75.665,27684
Arkansas,Nevada County,73.645,32548
Arkansas,Newton County,76.975,26583
Arkansas,Ouachita County,73.335,33525
Arkansas,Perry County,75.495,31935
Arkansas,Phillips County,70.9,31720
Arkansas,Pike County,75.665,29898
Arkansas,Poinsett County,71.61,29719
Arkansas,Polk County,75.665,28776
Arkansas,Pope County,76.545,32684
Arkansas,Prairie County,74.33,33346
Arkansas,Pulaski County,76.025,45862
Arkansas,Randolph County,75.69,29256
Arkansas,St. Francis County,73.415,26176
Arkansas,Saline County,77.76,37360
Arkansas,Scott County,75.665,28790
Arkansas,Searcy County,76.975,27524
Arkansas,Sebastian County,75.925,37983
Arkansas,Sevier County,74.72,26058
Arkansas,Sharp County,76.08,30957
Arkansas,Stone County,76.84,27516
Arkansas,Union County,72.925,44151
Arkansas,Van Buren County,76.84,30219
Arkansas,Washington County,77.85,35205
Arkansas,White County,76.03,32398
Arkansas,Woodruff County,74.33,33858
Arkansas,Yell County,75.75,30441
California,Alameda County,81.145,61879
California,Alpine County,79.69,69705
California,Amador County,78.62,41807
California,Butte County,77.135,39971
California,Calaveras County,79.46,46289
California,Colusa County,79.18,43237
California,Contra Costa County,80.93,66348
California,Del Norte County,75.87,33129
California,El Dorado County,80.755,59145
California,Fresno County,78.53,38323
California,Glenn County,77.505,39375
California,Humboldt County,76.87,41525
California,Imperial County,80.07,33584
California,Inyo County,78.64,52668
California,Kern County,77.41,37355
California,Kings County,78.565,33126
California,Lake County,75.66,37807
California,Lassen County,77.08,34630
California,Los Angeles County,80.705,53521
California,Madera County,78.635,35165
California,Marin County,83.23,109076
California,Mariposa County,78.98,46069
California,Mendocino County,77.455,43845
California,Merced County,78.575,36185
California,Modoc County,77.08,40926
California,Mono County,79.69,46706
California,Monterey County,81.23,49836
California,Napa County,80.33,61483
California,Nevada County,81.285,55325
California,Orange County,81.935,57749
California,Placer County,81.055,57696
California,Plumas County,78.36,47615
California,Riverside County,79.89,35589
California,Sacramento County,78.835,46539
California,San Benito County,80.385,43643
California,San Bernardino County,78.26,35431
California,San Diego County,80.92,53298
California,San Francisco County,81.61,103529
California,San Joaquin County,78.115,38769
California,San Luis Obispo County,80.63,49873
California,San Mateo County,82.32,97553
California,Santa Barbara County,81.19,54428
California,Santa Clara County,82.76,82756
California,Santa Cruz County,80.92,57257
California,Shasta County,76.51,40882
California,Sierra County,78.36,38722
California,Siskiyou County,76.61,39381
California,Solano County,78.94,44504
California,Sonoma County,80.245,53520
California,Stanislaus County,78.215,39445
California,Sutter County,78.23,40514
California,Tehama County,77.155,35850
California,Trinity County,76.61,35627
California,Tulare County,77.96,36551
California,Tuolumne County,79.69,41770
California,Ventura County,81.135,54155
California,Yolo County,80.01,49063
California,Yuba County,76.34,37535
COLORADO,ADAMS,80.125,36962
Colorado,Alamosa County,77.46,34088
Colorado,Arapahoe County,80.275,52545
