top_speed, common_name, scientific_name
1.52, Western fence lizard, Sceloporus occidentalis
1.74, Western fence lizard, Sceloporus occidentalis
1.79, Western fence lizard, Sceloporus occidentalis
2.01, Western fence lizard, Sceloporus occidentalis
3.13, Western fence lizard, Sceloporus occidentalis
2.89, Western fence lizard, Sceloporus occidentalis
2.56, Western fence lizard, Sceloporus occidentalis
2.65, Western fence lizard, Sceloporus occidentalis
3.38, Western fence lizard, Sceloporus occidentalis
2.36, Western fence lizard, Sceloporus occidentalis
2.21, Western fence lizard, Sceloporus occidentalis
1.65, Western fence lizard, Sceloporus occidentalis
2.05, Western fence lizard, Sceloporus occidentalis
2.84, Western fence lizard, Sceloporus occidentalis
3.36, Western fence lizard, Sceloporus occidentalis
2.02, Western fence lizard, Sceloporus occidentalis
1.63, Western fence lizard, Sceloporus occidentalis
2.51, Western fence lizard, Sceloporus occidentalis
2.18, Western fence lizard, Sceloporus occidentalis
2.09, Western fence lizard, Sceloporus occidentalis
1.82, Western fence lizard, Sceloporus occidentalis
2.53, Western fence lizard, Sceloporus occidentalis
1.74, Sagebrush lizard, Sceloporus graciosus
1.41, Sagebrush lizard, Sceloporus graciosus
1.30, Sagebrush lizard, Sceloporus graciosus
1.42, Sagebrush lizard, Sceloporus graciosus
2.23, Sagebrush lizard, Sceloporus graciosus
1.67, Sagebrush lizard, Sceloporus graciosus
1.15, Sagebrush lizard, Sceloporus graciosus
1.38, Sagebrush lizard, Sceloporus graciosus
1.75, Sagebrush lizard, Sceloporus graciosus
1.47, Sagebrush lizard, Sceloporus graciosus
1.59, Sagebrush lizard, Sceloporus graciosus
1.99, Sagebrush lizard, Sceloporus graciosus
2.21, Sagebrush lizard, Sceloporus graciosus
1.41, Sagebrush lizard, Sceloporus graciosus
1.70, Sagebrush lizard, Sceloporus graciosus
1.89, Sagebrush lizard, Sceloporus graciosus
1.80, Sagebrush lizard, Sceloporus graciosus
2.02, Sagebrush lizard, Sceloporus graciosus
1.87, Sagebrush lizard, Sceloporus graciosus
1.75, Sagebrush lizard, Sceloporus graciosus
1.15, Sagebrush lizard, Sceloporus graciosus
1.63, Sagebrush lizard, Sceloporus graciosus
1.84, Sagebrush lizard, Sceloporus graciosus
1.20, Sagebrush lizard, Sceloporus graciosus
1.28, Sagebrush lizard, Sceloporus graciosus
1.08, Sagebrush lizard, Sceloporus graciosus
