,Year,Month,Day,Intensity Richter,Area,Region,Deaths
,1902,April,19,7.5,Quezaltenango and San Marco,Guatemala,2000
,1902,December,16,6.4,Uzbekistan,Russia,4700
,1903,April,28,7.0,Malazgirt,Turkey,3500
,1903,May,28,5.8,Gole,Turkey,1000
,1905,April,4,7.5,Kangra,India,19000
,1906,January,31,8.8,Esmeraldas (off coast),Ecuador,1000
,1906,March,16,6.8,Chia-i,Taiwan,1250
,1906,April,18,7.7,San Francisco,United States,3000
,1906,August,17,8.6,Valparaiso,Chile,3882
,1907,October,21,8.1,Central,Asia,12000
,1908,December,28,7.2,Messina,Italy,72000
,1909,January,23,7.3,Silakhor,Iran,5000
,1912,August,9,7.4,Murefte,Turkey,2800
,1914,October,3,7.0,Burdur,Turkey,4000
,1915,January,13,7.0,Avezzano,Italy,32610
,1917,July,30,7.5,Yunnan,China,1800
,1918,February,13,7.4,Guangdong,China,1000
,1920,December,16,7.8,Gansu,China,200000
,1923,March,24,7.3,Sichuan,China,3500
,1923,March,25,5.7,Torbat-e Heydariyeh,Iran,2200
,1923,September,1,7.9,Yokohama,Japan,142800
,1925,March,16,7.0,Yunnan,China,5800
,1927,March,7,7.6,Tango,Japan,3020
,1927,May,22,7.6,Gansu,China,40900
,1929,May,1,7.2,Koppeh Dagh,Iran,3800
,1930,May,6,7.2,Salmas,Iran,2500
,1930,July,23,6.5,Irpinia,Italy,1404
,1931,March,31,6.0,Managua,Nicaragua,2500
,1931,April,27,5.7,Border,Armenia-Azerbaijan,2800
,1931,August,10,8.0,Xinjiang,China,10000
,1933,March,2,8.4,Sanriku,Japan,2990
,1933,March,10,6.2,Long Beach,United States,115
,1933,August,25,7.5,Sichuan,China,9300
,1934,January,15,8.1,Bihar,India-Nepal,10700
,1935,April,21,7.1,Miao-Li,Taiwan,3270
,1935,May,30,7.6,Quetta,Pakistan,30000
,1939,January,25,7.8,Chillan,Chile,28000
,1939,December,26,7.8,Erzincan,Turkey,32700
,1940,November,10,7.3,Vrancea,Romania,1000
,1942,December,20,7.3,Erbaa,Turkey,1100
,1943,September,10,7.4,Tottori,Japan,1190
,1943,November,26,7.6,Ladik,Turkey,4000
,1944,January,15,7.4,San Juan,Argentina,8000
,1944,February,1,7.4,Gerede,Turkey,2790
,1945,January,12,7.1,Mikawa,Japan,1961
,1945,November,27,8.0,Makran Coast,Pakistan,4000
,1946,May,31,5.9,Ustukran,Turkey,1300
,1946,November,10,7.3,Ancash,Peru,1400
,1946,December,29,8.1,Honshu,Japan,1362
,1948,June,28,7.3,Fukui,Japan,3769
,1948,October,5,7.3,Ashgabat,Turkmenistan,110000
,1949,July,10,7.5,Khait,Tajikistan,12000
,1949,August,5,6.8,Pelileo,Ecuador,5050
,1950,August,15,8.6,Assam,India,1526
,1951,August,2,5.8,Cosiguina,Nicaragua,1000
,1953,March,18,7.3,Northwest,Turkey,1070
,1954,September,9,6.8,Orleansville,Algeria,1250
