2017-18 Attendance (School)  - All Students,,,,,,
School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,  97.3,   4.8,  15.0,   2.3,  15.0
Abington-Abington High,00010505,  94.7,   9.0,  38.2,  12.1,  14.3
Abington-Abington Early Education Program,00010001,  96.1,   6.4,  24.5,   6.4,  20.0
Abington-Woodsdale Elementary School,00010015,  95.8,   7.3,  28.3,   6.4,  11.9
Abington-Beaver Brook Elementary,00010020,  95.3,   8.2,  29.5,   9.2,  22.7
Abington-Abington Middle School,00010405,  94.8,   9.3,  37.6,  12.4,  21.6
Academy Of the Pacific Rim Charter Public (District)-Academy Of the Pacific Rim Charter Public School,04120530,  95.0,   8.9,  34.6,  11.7,  19.0
Acton-Boxborough-Merriam School,06000010,  95.6,   7.6,  30.2,   7.6,   0.0
Acton-Boxborough-Raymond J Grey Junior High,06000405,  96.6,   6.1,  19.4,   5.2,   0.3
Acton-Boxborough-Carol Huebner Early Childhood Program,06000001,  96.0,   6.8,  26.0,  16.5,   0.0
Acton-Boxborough-Blanchard Memorial School,06000005,  96.5,   6.2,  21.4,   6.1,   0.0
Acton-Boxborough-Acton-Boxborough Regional High,06000505,  96.4,   6.4,  23.0,   5.0,   0.0
Acton-Boxborough-McCarthy-Towne School,06000015,  96.2,   6.7,  24.0,   4.2,   0.0
Acton-Boxborough-C.T. Douglas Elementary School,06000020,  96.3,   6.5,  23.0,   4.3,   0.0
Acton-Boxborough-Paul P Gates Elementary School,06000025,  95.7,   7.7,  29.0,   9.3,   0.0
Acton-Boxborough-Luther Conant School,06000030,  96.3,   6.6,  24.3,   5.4,   0.0
Acushnet-Acushnet Elementary School,00030025,  96.1,   6.9,  24.0,   4.2,  19.1
Acushnet-Albert F Ford Middle School,00030305,  96.1,   7.0,  25.4,   4.7,  19.2
Adams-Cheshire-Hoosac Valley Elementary School,06030020,  94.5,   9.3,  38.1,  15.5,  33.6
Adams-Cheshire-Hoosac Valley High School,06030505,  93.6,  10.7,  35.6,  17.7,  28.7
Adams-Cheshire-Hoosac Valley Middle School,06030315,  95.2,   8.2,  32.5,   7.4,  26.4
Advanced Math and Science Academy Charter (District)-Advanced Math and Science Academy Charter School,04300305,  96.2,   6.8,  18.8,   5.2,  11.2
Agawam-Agawam Early Childhood Center,00050003,  92.2,  12.1,  45.7,  23.4,  45.7
Agawam-Clifford M Granger,00050010,  95.6,   7.6,  32.3,   6.9,   9.0
Agawam-Benjamin J Phelps,00050020,  95.7,   7.5,  28.4,   8.1,  22.8
Agawam-Agawam High,00050505,  95.0,   8.6,  33.7,  10.3,  17.2
Agawam-James Clark School,00050030,  95.4,   8.0,  32.5,   8.3,  23.6
Agawam-Roberta G. Doering School,00050303,  95.4,   8.0,  27.7,   7.8,  16.8
Agawam-Agawam Junior High,00050405,  94.7,   9.3,  39.4,  12.3,  28.3
Agawam-Robinson Park,00050025,  95.6,   7.6,  28.5,   7.1,  15.6
Alma del Mar Charter School (District)-Alma del Mar Charter School,04090205,  96.6,   6.3,  20.8,   3.3,  14.1
Amesbury-Amesbury Elementary,00070005,  95.1,   8.5,  33.6,   9.9,   0.0
Amesbury-Charles C Cashman Elementary,00070010,  95.0,   8.7,  30.6,  12.1,   0.0
Amesbury-Amesbury Middle,00070013,  93.9,  10.8,  42.3,  15.2,  39.4
Amesbury-Amesbury High,00070505,  94.4,   9.7,  36.0,  14.4,   3.4
Amesbury-Amesbury Innovation High School,00070515,  80.7,  31.3,  76.2,  64.3,  45.2
Amherst-Crocker Farm Elementary,00080009,  94.5,   9.3,  32.4,  14.8,   1.8
Amherst-Fort River Elementary,00080020,  95.7,   7.4,  26.4,   7.8,   6.4
Amherst-Wildwood Elementary,00080050,  95.7,   7.4,  25.9,   7.4,   8.6
Amherst-Pelham-Amherst Regional Middle School,06050405,  95.0,   8.7,  33.4,  12.9,  12.2
Amherst-Pelham-Amherst Regional High,06050505,  93.5,  11.4,  38.7,  17.7,  10.5
Andover-Bancroft Elementary,00090003,  96.1,   6.9,  24.7,   4.8,  11.1
Andover-High Plain Elementary,00090004,  96.1,   6.7,  25.1,   5.3,   1.5
Andover-Shawsheen School,00090005,  92.0,  13.3,  52.8,  24.5,  12.3
Andover-Henry C Sanborn Elementary,00090010,  95.9,   7.1,  25.6,   5.5,   5.3
Andover-Andover High,00090505,  95.0,   8.8,  33.2,  12.4,   8.3
Andover-West Elementary,00090025,  96.0,   7.1,  26.1,   5.6,   5.6
Andover-Doherty Middle,00090305,  95.7,   7.6,  26.3,   6.4,   0.2
Andover-Andover West Middle,00090310,  96.1,   6.9,  25.0,   5.9,   4.4
Andover-Wood Hill Middle School,00090350,  96.5,   6.3,  20.4,   3.6,   0.0
Andover-South Elementary,00090020,  96.6,   6.0,  21.2,   2.2,   3.0
Argosy Collegiate Charter School (District)-Argosy Collegiate Charter School,35090305,  94.5,   9.7,  41.2,  16.6,  29.6
Arlington-Cyrus E Dallin,00100025,  96.9,   5.5,  17.6,   2.3,   0.0
Arlington-Hardy,00100030,  95.9,   7.2,  24.8,   7.1,   0.0
Arlington-Menotomy Preschool,00100038,  95.1,   7.7,  29.0,  13.1,   0.0
Arlington-Peirce,00100045,  96.3,   6.4,  19.9,   3.5,   0.0
Arlington-M Norcross Stratton,00100055,  96.4,   6.4,  20.2,   4.3,   0.0
Arlington-Ottoson Middle,00100410,  98.5,   2.6,   5.6,   2.5,   1.3
