2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     698,  19.3,"      1,420",  53.6,  46.4,   9.2,  12.2,36.3
Abington - Abington Early Education Program,00010001,      24,  17.8,        107,  47.7,  52.3,   0.0,  36.4,20.6
Abington - Abington High,00010505,     260,  16.0,        519,  51.6,  48.4,   4.2,   9.8,21.4
Abington - Abington Middle School,00010405,     373,  23.2,        699,  48.8,  51.2,   3.1,  13.3,22.5
Abington - Beaver Brook Elementary,00010020,     273,  20.8,        433,  51.5,  48.5,   9.0,  14.5,19.9
Abington - Woodsdale Elementary School,00010015,     143,  25.3,        329,  46.5,  53.5,  10.0,  11.2,26.1
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     167,  20.9,        521,  51.4,  48.6,  12.7,  25.5,34.7
Acton-Boxborough - Acton-Boxborough Regional High,06000505,     725,  18.4,"      1,831",  48.6,  51.4,   0.9,   9.0,4.3
Acton-Boxborough - Blanchard Memorial School,06000005,     149,  21.5,        455,  49.7,  50.3,   6.2,  18.9,4.4
Acton-Boxborough - C.T. Douglas Elementary School,06000020,     135,  22.8,        435,  48.5,  51.5,   6.7,  17.7,6.7
Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,      11,  12.3,        123,  37.4,  62.6,   0.8,  50.4,10.6
Acton-Boxborough - Luther Conant School,06000030,     144,  22.2,        448,  49.3,  50.7,  12.7,  14.3,7.4
Acton-Boxborough - McCarthy-Towne School,06000015,     156,  22.3,        493,  48.9,  51.1,   7.3,  16.4,8.1
Acton-Boxborough - Merriam School,06000010,     156,  22.6,        499,  47.3,  52.7,   6.6,  16.0,6.6
Acton-Boxborough - Paul P Gates Elementary School,06000025,     128,  22.3,        399,  46.9,  53.1,  14.8,  15.5,9.8
Acton-Boxborough - Raymond J Grey Junior High,06000405,     575,  24.0,        978,  48.1,  51.9,   2.6,  16.6,5.3
Acushnet - Acushnet Elementary School,00030025,     158,  19.8,        567,  48.3,  51.7,   1.2,  13.6,23.5
Acushnet - Albert F Ford Middle School,00030305,     277,  18.7,        422,  46.9,  53.1,   0.5,  14.9,23
