2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,      84,  17.1,"      1,419",  53.6,  46.4,   9.2,  12.1,36.2
Abington - Abington Early Education Program,00010001,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Abington - Abington High,00010505,      33,  17.2,        513,  51.7,  48.3,   4.3,   9.7,21.2
Abington - Abington Middle School,00010405,      30,  23.4,        699,  48.8,  51.2,   3.1,  13.3,22.5
Abington - Beaver Brook Elementary,00010020,      21,  20.7,        433,  51.5,  48.5,   9.0,  14.5,19.9
Abington - Woodsdale Elementary School,00010015,      13,  25.3,        329,  46.5,  53.5,  10.0,  11.2,26.1
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,      26,  20.0,        520,  51.5,  48.5,  12.7,  25.6,34.6
Acton-Boxborough - Acton-Boxborough Regional High,06000505,      96,  21.3,"      1,783",  48.8,  51.2,   0.8,   8.5,4
Acton-Boxborough - Blanchard Memorial School,06000005,      21,  21.7,        455,  49.7,  50.3,   6.2,  18.9,4.4
Acton-Boxborough - C.T. Douglas Elementary School,06000020,      19,  22.9,        435,  48.5,  51.5,   6.7,  17.7,6.7
Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Acton-Boxborough - Luther Conant School,06000030,      20,  22.4,        448,  49.3,  50.7,  12.7,  14.3,7.4
Acton-Boxborough - McCarthy-Towne School,06000015,      22,  22.4,        493,  48.9,  51.1,   7.3,  16.4,8.1
Acton-Boxborough - Merriam School,06000010,      22,  22.7,        499,  47.3,  52.7,   6.6,  16.0,6.6
Acton-Boxborough - Paul P Gates Elementary School,06000025,      18,  22.2,        399,  46.9,  53.1,  14.8,  15.5,9.8
Acton-Boxborough - Raymond J Grey Junior High,06000405,      42,  22.9,        960,  48.1,  51.9,   2.3,  16.6,5.2
Acushnet - Acushnet Elementary School,00030025,      25,  19.6,        489,  48.7,  51.3,   1.0,   9.8,22.9
Acushnet - Albert F Ford Middle School,00030305,      55,  18.4,        422,  46.9,  53.1,   0.5,  14.9,23
Adams-Cheshire - Hoosac Valley Elementary School,06030020,      20,  17.2,        344,  47.1,  52.9,   0.6,  27.0,52.9
Adams-Cheshire - Hoosac Valley High School,06030505,      34,  15.3,        400,  49.8,  50.3,   1.0,  22.5,41
Adams-Cheshire - Hoosac Valley Middle School,06030315,      19,  20.3,        385,  48.8,  51.2,   0.3,  24.2,50.9
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,      81,  19.1,        982,  46.9,  53.1,   2.5,   5.4,6.6
Agawam - Agawam Early Childhood Center,00050003,       0,   0.0,          0,   0.0,   0.0,   0.0,   0.0,0
Agawam - Agawam High,00050505,      80,  14.3,"      1,107",  49.0,  51.0,   1.8,  11.7,20.4
Agawam - Agawam Junior High,00050405,     122,  11.2,        580,  48.8,  51.2,   1.4,  14.8,26.9
Agawam - Benjamin J Phelps,00050020,      22,  17.2,        378,  44.7,  55.3,  10.8,  11.6,26.5
Agawam - Clifford M Granger,00050010,      13,  21.9,        285,  51.2,  48.8,   8.8,  21.8,35.8
Agawam - James Clark School,00050030,      18,  18.4,        331,  47.7,  52.3,  10.0,  15.4,28.4
Agawam - Roberta G. Doering School,00050303,      94,  13.2,        576,  47.2,  52.8,   4.0,  16.8,33
Agawam - Robinson Park,00050025,      23,  15.8,        364,  50.5,  49.5,  14.0,  13.7,34.9
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,      20,  19.5,        390,  54.6,  45.4,  22.6,  15.6,55.4
Amesbury - Amesbury Elementary,00070005,      19,  19.3,        367,  44.4,  55.6,   0.0,  18.3,22.3
Amesbury - Amesbury High,00070505,      50,  20.4,        580,  46.0,  54.0,   0.9,  12.9,13.3
Amesbury - Amesbury Innovation High School,00070515,       5,   8.8,         43,  44.2,  55.8,   0.0,  46.5,62.8
Amesbury - Amesbury Middle,00070013,      43,  15.5,        667,  50.4,  49.6,   0.9,  20.4,22
Amesbury - Charles C Cashman Elementary,00070010,      22,  18.9,        415,  46.0,  54.0,   3.9,  22.7,26.7
