2018 MCAS Achievement Results,,,,,,,,,,,,,,,,
School Name,School Code,Subject,P+A #,P+A %,A #,A %,P #,P %,NI #,NI %,W/F #,W/F %,No. of Students Included,CPI,Ave. SGP,Included In Ave. SGP
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,ENGLISH LANGUAGE ARTS,87,99,49,56,38,43,1,1,0,0,88,  99.7,  66.6,86
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,MATHEMATICS,75,85,55,63,20,23,12,14,1,1,88,  95.2,  74.8,86
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,SCIENCE AND TECH/ENG,81,92,48,55,33,38,7,8,0,0,88,  97.7,N/A,N/A
Abington - Abington High,00010505,ENGLISH LANGUAGE ARTS,115,93,70,56,45,36,3,2,6,5,124,  97.6,  47.7,114
Abington - Abington High,00010505,MATHEMATICS,110,89,70,56,40,32,9,7,5,4,124,  96.8,  60.4,113
Abington - Abington High,00010505,SCIENCE AND TECH/ENG,97,85,40,35,57,50,12,11,5,4,114,  95.2,N/A,N/A
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,ENGLISH LANGUAGE ARTS,54,100,29,54,25,46,0,0,0,0,54, 100.0,  63.8,53
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,MATHEMATICS,42,78,25,46,17,31,10,19,2,4,54,  91.2,  54.6,53
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,SCIENCE AND TECH/ENG,38,69,12,22,26,47,16,29,1,2,55,  87.3,N/A,N/A
Acton-Boxborough - Acton-Boxborough Regional High,06000505,ENGLISH LANGUAGE ARTS,435,99,362,82,73,17,2,0,2,0,439,  99.5,  62.1,407
Acton-Boxborough - Acton-Boxborough Regional High,06000505,MATHEMATICS,422,96,379,87,43,10,12,3,4,1,438,  98.5,  63.1,405
Acton-Boxborough - Acton-Boxborough Regional High,06000505,SCIENCE AND TECH/ENG,406,96,280,66,126,30,17,4,1,0,424,  98.3,N/A,N/A
Adams-Cheshire - Hoosac Valley High School,06030505,ENGLISH LANGUAGE ARTS,58,95,32,52,26,43,3,5,0,0,61,  98.8,  62.2,58
Adams-Cheshire - Hoosac Valley High School,06030505,MATHEMATICS,47,77,29,48,18,30,9,15,5,8,61,  88.9,  52.9,57
Adams-Cheshire - Hoosac Valley High School,06030505,SCIENCE AND TECH/ENG,38,68,9,16,29,52,16,29,2,4,56,  86.6,N/A,N/A
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,ENGLISH LANGUAGE ARTS,148,100,120,81,28,19,0,0,0,0,148, 100.0,  68.0,141
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,MATHEMATICS,146,99,136,92,10,7,2,1,0,0,148,  99.3,  71.6,142
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,SCIENCE AND TECH/ENG,134,97,90,65,44,32,4,3,0,0,138,  98.9,N/A,N/A
Agawam - Agawam High,00050505,ENGLISH LANGUAGE ARTS,249,94,139,52,110,41,12,5,5,2,266,  98.0,  52.0,254
Agawam - Agawam High,00050505,MATHEMATICS,215,82,133,51,82,31,29,11,17,7,261,  92.6,  48.0,248
Agawam - Agawam High,00050505,SCIENCE AND TECH/ENG,177,69,55,21,122,48,70,27,9,4,256,  87.8,N/A,N/A
Amesbury - Amesbury High,00070505,ENGLISH LANGUAGE ARTS,136,96,95,67,41,29,5,4,1,1,142,  98.6,  56.4,131
Amesbury - Amesbury High,00070505,MATHEMATICS,129,91,92,65,37,26,9,6,3,2,141,  96.5,  55.1,130
Amesbury - Amesbury High,00070505,SCIENCE AND TECH/ENG,114,86,53,40,61,46,17,13,1,1,132,  94.7,N/A,N/A
Amherst-Pelham - Amherst Regional High,06050505,ENGLISH LANGUAGE ARTS,208,95,149,68,59,27,6,3,4,2,218,  98.1,  50.5,188
Amherst-Pelham - Amherst Regional High,06050505,MATHEMATICS,189,88,132,61,57,27,12,6,14,7,215,  94.0,  50.6,180
Amherst-Pelham - Amherst Regional High,06050505,SCIENCE AND TECH/ENG,174,89,97,49,77,39,18,9,4,2,196,  95.7,N/A,N/A
Andover - Andover High,00090505,ENGLISH LANGUAGE ARTS,417,99,262,62,155,37,3,1,3,1,423,  99.6,  38.7,381
Andover - Andover High,00090505,MATHEMATICS,385,91,292,69,93,22,32,8,5,1,422,  97.0,  56.0,382
Andover - Andover High,00090505,SCIENCE AND TECH/ENG,355,86,167,40,188,45,56,14,3,1,414,  95.0,N/A,N/A
Arlington - Arlington High,00100505,ENGLISH LANGUAGE ARTS,292,96,234,77,58,19,10,3,2,1,304,  98.4,  57.2,270
Arlington - Arlington High,00100505,MATHEMATICS,278,91,229,75,49,16,20,7,6,2,304,  96.3,  56.2,270
Arlington - Arlington High,00100505,SCIENCE AND TECH/ENG,261,87,171,57,90,30,35,12,3,1,299,  95.1,N/A,N/A
Ashburnham-Westminster - Oakmont Regional High School,06100505,ENGLISH LANGUAGE ARTS,163,95,94,55,69,40,7,4,2,1,172,  98.5,  33.9,154
Ashburnham-Westminster - Oakmont Regional High School,06100505,MATHEMATICS,149,87,111,65,38,22,16,9,6,4,171,  94.6,  51.8,152
Ashburnham-Westminster - Oakmont Regional High School,06100505,SCIENCE AND TECH/ENG,133,84,54,34,79,50,22,14,4,3,159,  93.9,N/A,N/A
Ashland - Ashland High,00140505,ENGLISH LANGUAGE ARTS,193,97,153,77,40,20,6,3,1,1,200,  98.6,  47.1,187
Ashland - Ashland High,00140505,MATHEMATICS,189,95,155,78,34,17,6,3,4,2,199,  97.4,  53.2,186
Ashland - Ashland High,00140505,SCIENCE AND TECH/ENG,176,92,93,49,83,43,14,7,1,1,191,  97.1,N/A,N/A
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,ENGLISH LANGUAGE ARTS,274,97,100,35,174,61,8,3,1,0,283,  98.8,  57.1,268
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,MATHEMATICS,223,80,118,42,105,38,47,17,10,4,280,  91.2,  63.3,268
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,SCIENCE AND TECH/ENG,206,76,61,23,145,54,56,21,8,3,270,  90.8,N/A,N/A
