2017-18 Enrollment By Race/Gender Report (School) ,,,,,,,,,,
School Name,School Code,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,  49.8,   4.1,  22.3,  20.8,   0.1,   0.1,   2.8,  46.5,  53.5
Abington - Abington Early Education Program,00010001,  10.7,   4.8,   1.2,  83.3,   0.0,   0.0,   0.0,  53.6,  46.4
Abington - Abington High,00010505,   3.3,   1.9,   9.8,  83.5,   0.4,   0.2,   1.0,  47.9,  52.1
Abington - Abington Middle School,00010405,   2.2,   1.9,   6.1,  88.8,   0.1,   0.0,   0.9,  51.7,  48.3
Abington - Beaver Brook Elementary,00010020,   3.5,   2.1,   9.0,  84.4,   0.5,   0.2,   0.2,  49.1,  50.9
Abington - Woodsdale Elementary School,00010015,   2.5,   1.6,   8.8,  86.2,   0.3,   0.0,   0.6,  53.6,  46.4
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,  59.7,   1.3,  27.9,   8.8,   0.0,   0.2,   2.1,  49.2,  50.8
Acton-Boxborough - Acton-Boxborough Regional High,06000505,   2.0,  30.6,   3.2,  59.6,   0.2,   0.0,   4.4,  51.5,  48.5
Acton-Boxborough - Blanchard Memorial School,06000005,   1.6,  32.7,   3.4,  58.4,   0.4,   0.0,   3.6,  50.8,  49.2
Acton-Boxborough - C.T. Douglas Elementary School,06000020,   0.5,  21.8,   3.0,  67.0,   0.2,   0.5,   7.0,  51.8,  48.2
Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,   7.2,  43.2,   5.4,  39.6,   0.0,   0.0,   4.5,  57.7,  42.3
Acton-Boxborough - Luther Conant School,06000030,   2.9,  62.7,   6.1,  24.4,   0.0,   0.2,   3.6,  50.5,  49.5
Acton-Boxborough - McCarthy-Towne School,06000015,   3.5,  10.5,   9.7,  70.6,   0.6,   0.0,   5.1,  52.0,  48.0
Acton-Boxborough - Merriam School,06000010,   2.2,  19.7,   6.2,  68.5,   0.0,   0.2,   3.2,  52.4,  47.6
Acton-Boxborough - Paul P Gates Elementary School,06000025,   3.0,  55.0,   5.2,  33.3,   0.5,   0.0,   3.0,  52.7,  47.3
Acton-Boxborough - Raymond J Grey Junior High,06000405,   2.3,  34.4,   3.5,  55.9,   0.0,   0.0,   3.8,  51.8,  48.2
Acushnet - Acushnet Elementary School,00030025,   0.7,   0.2,   4.4,  92.0,   0.2,   0.0,   2.5,  52.0,  48.0
Acushnet - Albert F Ford Middle School,00030305,   1.0,   0.0,   1.9,  96.4,   0.0,   0.0,   0.7,  53.5,  46.5
Adams-Cheshire - Hoosac Valley Elementary School,06030020,   3.5,   0.5,   2.5,  89.8,   0.0,   0.2,   3.5,  50.4,  49.6
Adams-Cheshire - Hoosac Valley High School,06030505,   5.8,   2.2,   2.2,  89.4,   0.2,   0.0,   0.2,  49.6,  50.4
Adams-Cheshire - Hoosac Valley Middle School,06030315,   4.0,   0.0,   3.0,  91.8,   0.2,   0.0,   1.0,  51.4,  48.6
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,   1.9,  17.4,   5.4,  68.2,   0.2,   0.0,   6.8,  52.4,  47.6
Agawam - Agawam Early Childhood Center,00050003,   1.8,   8.6,  13.5,  74.2,   0.0,   0.0,   1.8,  54.0,  46.0
Agawam - Agawam High,00050505,   1.5,   1.8,   5.4,  89.3,   0.0,   0.1,   2.0,  51.7,  48.3
Agawam - Agawam Junior High,00050405,   2.3,   3.5,   8.7,  82.5,   0.0,   0.0,   3.0,  51.1,  48.9
Agawam - Benjamin J Phelps,00050020,   1.5,   3.6,   5.4,  86.9,   0.0,   0.0,   2.6,  56.7,  43.3
Agawam - Clifford M Granger,00050010,   1.1,   0.7,  12.5,  81.8,   0.0,   0.4,   3.6,  48.9,  51.1
Agawam - James Clark School,00050030,   3.5,   3.5,  10.9,  79.7,   0.0,   0.0,   2.4,  53.2,  46.8
Agawam - Roberta G. Doering School,00050303,   3.3,   3.3,   5.6,  85.1,   0.0,   0.0,   2.6,  52.6,  47.4
Agawam - Robinson Park,00050025,   4.0,   3.5,  10.7,  78.0,   0.0,   0.0,   3.8,  49.3,  50.7
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,  12.8,   0.5,  50.8,  29.3,   0.7,   0.0,   5.8,  45.5,  54.5
Amesbury - Amesbury Elementary,00070005,   2.0,   0.8,   7.3,  84.3,   0.3,   0.3,   5.1,  55.9,  44.1
Amesbury - Amesbury High,00070505,   1.5,   1.4,   6.3,  87.2,   0.2,   0.0,   3.5,  54.2,  45.8
Amesbury - Amesbury Innovation High School,00070515,   2.5,   0.0,   2.5,  85.0,   0.0,   0.0,  10.0,  60.0,  40.0
Amesbury - Amesbury Middle,00070013,   1.2,   0.7,   7.4,  86.9,   0.1,   0.3,   3.4,  49.8,  50.2
Amesbury - Charles C Cashman Elementary,00070010,   1.8,   1.8,   8.6,  85.8,   0.2,   0.0,   1.8,  55.5,  44.5
Amherst - Crocker Farm Elementary,00080009,   7.6,  16.9,  24.0,  41.4,   0.5,   0.0,   9.6,  52.2,  47.5
Amherst - Fort River Elementary,00080020,  10.1,  14.6,  22.4,  47.2,   0.0,   0.0,   5.7,  47.8,  52.2
Amherst - Wildwood Elementary,00080050,  11.9,  11.7,  19.1,  48.9,   0.2,   0.0,   8.2,  52.9,  47.1
Amherst-Pelham - Amherst Regional High,06050505,   7.0,   9.1,  16.6,  57.3,   0.1,   0.2,   9.6,  50.9,  49.0
Amherst-Pelham - Amherst Regional Middle School,06050405,   7.3,   9.5,  15.1,  60.2,   0.0,   0.2,   7.6,  52.2,  47.8
Andover - Andover High,00090505,   2.2,  16.4,   4.7,  74.6,   0.1,   0.0,   2.1,  47.1,  52.8
Andover - Andover West Middle,00090310,   2.3,  15.4,   5.0,  74.3,   0.4,   0.0,   2.7,  47.4,  52.6
Andover - Bancroft Elementary,00090003,   3.1,   9.0,   5.9,  76.6,   0.3,   0.0,   5.0,  52.4,  47.6
Andover - Doherty Middle,00090305,   1.1,  12.4,   5.0,  78.2,   0.5,   0.0,   2.7,  50.0,  50.0
Andover - Henry C Sanborn Elementary,00090010,   1.5,  27.1,   6.2,  62.6,   0.3,   0.0,   2.3,  51.8,  48.2
Andover - High Plain Elementary,00090004,   2.6,  29.4,   6.8,  57.6,   0.0,   0.0,   3.6,  54.0,  46.0
Andover - Shawsheen School,00090005,   2.4,  31.8,   8.2,  55.3,   0.0,   0.0,   2.4,  71.8,  28.2
Andover - South Elementary,00090020,   0.6,  17.5,   2.9,  77.6,   0.2,   0.2,   1.0,  50.9,  49.1
Andover - West Elementary,00090025,   2.5,  17.1,   6.3,  71.5,   0.3,   0.0,   2.3,  50.5,  49.5
Andover - Wood Hill Middle School,00090350,   2.2,  29.4,   8.5,  57.2,   0.2,   0.0,   2.4,  50.1,  49.9
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,  10.6,   2.0,  18.8,  62.1,   0.5,   0.5,   5.5,  53.0,  47.0
Arlington - Arlington High,00100505,   4.4,  10.6,   6.4,  74.6,   0.0,   0.2,   3.8,  49.1,  50.6
Arlington - Brackett,00100010,   1.2,  10.5,   4.9,  76.4,   0.0,   0.2,   6.8,  52.9,  47.1
Arlington - Cyrus E Dallin,00100025,   1.5,  13.5,   4.4,  76.5,   0.0,   0.2,   4.0,  51.8,  48.2
Arlington - Hardy,00100030,   4.8,  14.4,   8.7,  66.4,   0.2,   0.2,   5.2,  54.1,  45.6
Arlington - John A Bishop,00100005,   3.8,  15.7,   3.3,  71.0,   0.0,   0.7,   5.5,  53.8,  46.2
Arlington - M Norcross Stratton,00100055,   2.7,  15.2,   5.0,  70.4,   0.0,   0.0,   6.7,  50.7,  49.3
Arlington - Menotomy Preschool,00100038,   4.7,  21.2,   9.4,  56.5,   0.0,   0.0,   8.2,  68.2,  31.8
Arlington - Ottoson Middle,00100410,   3.9,  10.7,   5.7,  73.8,   0.0,   0.1,   5.9,  46.1,  53.9
Arlington - Peirce,00100045,   3.9,  13.1,   9.5,  68.5,   0.0,   0.0,   4.9,  50.8,  49.2
Arlington - Thompson,00100050,   5.1,  14.9,  10.4,  63.6,   0.6,   0.2,   5.1,  51.5,  48.5
Ashburnham-Westminster - Briggs Elementary,06100025,   0.2,   1.1,   4.9,  91.1,   0.0,   0.0,   2.7,  49.5,  50.5
Ashburnham-Westminster - Meetinghouse School,06100010,   0.6,   0.6,   6.2,  92.0,   0.0,   0.0,   0.6,  50.0,  50.0
Ashburnham-Westminster - Oakmont Regional High School,06100505,   0.6,   1.4,   2.6,  94.0,   0.0,   0.0,   1.4,  48.7,  51.3
Ashburnham-Westminster - Overlook Middle School,06100305,   0.5,   0.5,   4.2,  93.4,   0.2,   0.0,   1.2,  49.4,  50.6
Ashburnham-Westminster - Westminster Elementary,06100005,   1.6,   0.0,   5.0,  91.0,   0.0,   0.0,   2.4,  54.6,  45.4
Ashland - Ashland High,00140505,   2.3,   9.9,  10.9,  73.9,   0.3,   0.0,   2.7,  48.2,  51.6
Ashland - Ashland Middle,00140405,   2.2,  14.1,  12.0,  68.4,   0.5,   0.0,   2.8,  49.4,  50.6
Ashland - David Mindess,00140015,   2.2,  13.9,   9.9,  68.8,   1.5,   0.0,   3.7,  50.4,  49.6
Ashland - Henry E Warren Elementary,00140010,   2.1,  16.8,  12.4,  63.9,   0.0,   0.2,   4.6,  49.3,  50.7
Ashland - William Pittaway Elementary,00140005,   2.4,  22.0,   0.0,  74.8,   0.8,   0.0,   0.0,  56.7,  43.3
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,   0.6,   0.4,  14.1,  82.2,   0.4,   0.0,   2.3,  59.5,  40.4
Athol-Royalston - Athol Community Elementary School,06150020,   1.0,   1.5,   9.5,  83.6,   0.0,   0.0,   4.5,  53.3,  46.7
Athol-Royalston - Athol High,06150505,   2.2,   0.8,   8.2,  87.0,   0.0,   0.0,   1.9,  52.4,  47.6
Athol-Royalston - Athol-Royalston Middle School,06150305,   1.8,   0.8,  10.2,  82.6,   0.0,   0.0,   4.6,  51.4,  48.6
Athol-Royalston - Royalston Community School,06150050,   1.4,   0.7,   2.2,  92.8,   0.0,   0.0,   2.9,  50.4,  49.6
Atlantis Charter (District) - Atlantis Charter School,04910550,   5.0,   1.7,  10.8,  78.4,   0.1,   0.0,   4.0,  46.9,  53.1
Attleboro - A. Irvin Studley Elementary School,00160001,   4.4,   3.9,  17.2,  66.7,   0.3,   0.3,   7.3,  52.3,  47.7
