2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     109.0,  97.8,  13.1 to 1,  81.1,  83.7
Abington - Abington Early Education Program,00010001,       3.0, 100.0,  28.0 to 1, 100.0, 100.0
Abington - Abington High,00010505,      38.7, 100.0,  13.4 to 1,  82.8,  87.1
Abington - Abington Middle School,00010405,      40.8, 100.0,  16.8 to 1,  71.3,  92.9
Abington - Beaver Brook Elementary,00010020,      22.7, 100.0,  18.7 to 1,  86.8, 100.0
Abington - Woodsdale Elementary School,00010015,      18.4, 100.0,  17.4 to 1,  89.1, 100.0
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,      48.1,  70.5,  10.9 to 1,  39.7,  79.7
Acton-Boxborough - Acton-Boxborough Regional High,06000505,     123.8, 100.0,  14.8 to 1,  88.9,  95.7
Acton-Boxborough - Blanchard Memorial School,06000005,      30.2, 100.0,  14.8 to 1,  83.4, 100.0
Acton-Boxborough - C.T. Douglas Elementary School,06000020,      26.6, 100.0,  16.1 to 1,  94.0, 100.0
Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,       7.0, 100.0,  15.9 to 1, 100.0, 100.0
Acton-Boxborough - Luther Conant School,06000030,      29.2, 100.0,  15.1 to 1,  85.6, 100.0
Acton-Boxborough - McCarthy-Towne School,06000015,      30.2, 100.0,  16.1 to 1,  78.1, 100.0
Acton-Boxborough - Merriam School,06000010,      31.6, 100.0,  15.8 to 1,  85.4,  93.7
Acton-Boxborough - Paul P Gates Elementary School,06000025,      26.6, 100.0,  15.1 to 1,  96.2, 100.0
Acton-Boxborough - Raymond J Grey Junior High,06000405,      66.6, 100.0,  14.5 to 1,  93.1,  97.0
Acushnet - Acushnet Elementary School,00030025,      36.5, 100.0,  15.1 to 1,  87.0, 100.0
Acushnet - Albert F Ford Middle School,00030305,      29.0, 100.0,  14.3 to 1,  96.5,  96.5
Adams-Cheshire - Hoosac Valley Elementary School,06030020,      22.0, 100.0,  18.3 to 1,  94.5, 100.0
Adams-Cheshire - Hoosac Valley High School,06030505,      30.1,  96.7,  13.9 to 1,  76.9,  90.4
Adams-Cheshire - Hoosac Valley Middle School,06030315,      28.2, 100.0,  14.2 to 1,  77.3,  96.4
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,      82.0,  86.0,  12.1 to 1,  62.7,  70.2
Agawam - Agawam Early Childhood Center,00050003,       9.5, 100.0,  17.2 to 1,  89.5,  89.5
Agawam - Agawam High,00050505,      97.0, 100.0,  12.1 to 1,  90.7,  95.9
Agawam - Agawam Junior High,00050405,      60.7, 100.0,   9.4 to 1,  91.9,  95.2
Agawam - Benjamin J Phelps,00050020,      29.8, 100.0,  13.0 to 1,  91.6,  95.0
Agawam - Clifford M Granger,00050010,      20.3, 100.0,  13.8 to 1,  93.6, 100.0
Agawam - James Clark School,00050030,      28.1, 100.0,  12.1 to 1,  94.3,  96.4
Agawam - Roberta G. Doering School,00050303,      47.1, 100.0,  12.1 to 1,  93.6,  96.8
Agawam - Robinson Park,00050025,      30.8, 100.0,  12.1 to 1,  91.9,  98.4
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,      35.0,  62.9,  11.8 to 1,  54.3,  97.1
Amesbury - Amesbury Elementary,00070005,      28.4, 100.0,  13.9 to 1,  90.1, 100.0
Amesbury - Amesbury High,00070505,      20.6, 100.0,  28.7 to 1,  89.5,  94.3
Amesbury - Amesbury Innovation High School,00070515,       3.7, 100.0,  10.7 to 1,  77.8,  51.1
Amesbury - Amesbury Middle,00070013,      57.0, 100.0,  11.9 to 1,  82.3,  91.2
Amesbury - Charles C Cashman Elementary,00070010,      33.4, 100.0,  13.3 to 1,  94.6,  97.0
Amherst - Crocker Farm Elementary,00080009,      40.9, 100.0,  10.0 to 1,  92.0,  99.4
Amherst - Fort River Elementary,00080020,      38.6, 100.0,   8.7 to 1,  70.8,  91.6
Amherst - Wildwood Elementary,00080050,      42.6,  95.3,   9.5 to 1,  90.0,  99.4
Amherst-Pelham - Amherst Regional High,06050505,      66.4,  98.5,  14.0 to 1,  82.2,  96.8
Amherst-Pelham - Amherst Regional Middle School,06050405,      42.6,  99.1,   9.6 to 1,  87.7,  93.0
Andover - Andover High,00090505,     124.6, 100.0,  14.3 to 1,  89.3,  93.7
Andover - Andover West Middle,00090310,      46.5, 100.0,  11.3 to 1,  85.7,  95.7
Andover - Bancroft Elementary,00090003,      46.0, 100.0,  12.6 to 1,  92.4, 100.0
Andover - Doherty Middle,00090305,      46.1, 100.0,  12.1 to 1,  82.1, 100.0
Andover - Henry C Sanborn Elementary,00090010,      31.9, 100.0,  12.2 to 1,  91.2, 100.0
Andover - High Plain Elementary,00090004,      43.4, 100.0,  11.5 to 1,  91.6, 100.0
Andover - Shawsheen School,00090005,       7.0, 100.0,  12.1 to 1, 100.0, 100.0
Andover - South Elementary,00090020,      38.1, 100.0,  12.9 to 1,  93.4, 100.0
Andover - West Elementary,00090025,      47.1, 100.0,  12.9 to 1,  85.7, 100.0
Andover - Wood Hill Middle School,00090350,      39.1, 100.0,  10.5 to 1,  85.3,  95.3
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,      37.2,  67.2,  10.7 to 1,  24.7,  81.2
Arlington - Arlington High,00100505,      99.8, 100.0,  13.3 to 1,  81.6,  87.3
Arlington - Brackett,00100010,      30.3, 100.0,  16.1 to 1,  84.6, 100.0
Arlington - Cyrus E Dallin,00100025,      33.3, 100.0,  14.4 to 1,  79.5,  96.0
Arlington - Hardy,00100030,      31.8,  96.9,  14.4 to 1,  71.6,  96.7
Arlington - John A Bishop,00100005,      23.5, 100.0,  17.9 to 1,  92.7,  95.7
Arlington - M Norcross Stratton,00100055,      28.1, 100.0,  14.3 to 1,  81.9, 100.0
Arlington - Menotomy Preschool,00100038,       6.0, 100.0,  14.2 to 1,  83.3, 100.0
Arlington - Ottoson Middle,00100410,      94.2,  98.9,  13.4 to 1,  83.4,  88.1
Arlington - Peirce,00100045,      17.6, 100.0,  17.3 to 1,  91.2,  88.4
Arlington - Thompson,00100050,      35.1, 100.0,  13.9 to 1,  64.8,  96.7
Ashburnham-Westminster - Briggs Elementary,06100025,      38.8, 100.0,  14.3 to 1,  84.5,  92.3
Ashburnham-Westminster - Meetinghouse School,06100010,      10.7, 100.0,  15.2 to 1,  84.5,  96.9
Ashburnham-Westminster - Oakmont Regional High School,06100505,      50.5, 100.0,  14.2 to 1,  84.4,  94.7
Ashburnham-Westminster - Overlook Middle School,06100305,      37.9, 100.0,  15.1 to 1,  82.6,  94.7
Ashburnham-Westminster - Westminster Elementary,06100005,      22.1, 100.0,  17.1 to 1,  78.0,  94.7
Ashland - Ashland High,00140505,      56.0, 100.0,  13.7 to 1,  81.4,  91.4
Ashland - Ashland Middle,00140405,      45.2, 100.0,  13.3 to 1,  92.7,  95.0
Ashland - David Mindess,00140015,      46.3, 100.0,  14.0 to 1,  84.9,  97.8
Ashland - Henry E Warren Elementary,00140010,      44.4, 100.0,  13.8 to 1,  80.2,  96.4
Ashland - William Pittaway Elementary,00140005,       8.0, 100.0,  15.9 to 1,  50.0, 100.0
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     110.0,  95.5,  10.1 to 1,  84.1,  86.4
