Year,Winner,Series,Western champions,Eastern champions,Western coach,Eastern coach,Home court
1950,Minneapolis Lakers,4-2,Minneapolis Lakers,Syracuse Nationals,John Kundla,Al Cervi,East
1951,Rochester Royals,4-3,Rochester Royals,New York Knicks,Les Harrison,Joe Lapchick,West
1952,Minneapolis Lakers,4-3,Minneapolis Lakers,New York Knicks,John Kundla,Joe Lapchick,West
1953,Minneapolis Lakers,4-1,Minneapolis Lakers,New York Knicks,John Kundla,Joe Lapchick,West
1954,Minneapolis Lakers,4-3,Minneapolis Lakers,Syracuse Nationals,John Kundla,Al Cervi,West
1955,Syracuse Nationals,3-4,Fort Wayne Pistons,Syracuse Nationals,Charles Eckman,Al Cervi,East
1956,Philadelphia Warriors,1-4,Fort Wayne Pistons,Philadelphia Warriors,Charles Eckman,George Senesky,East
1957,Boston Celtics,3-4,St. Louis Hawks,Boston Celtics,Alex Hannum,Red Auerbach,East
1958,St. Louis Hawks,4-2,St. Louis Hawks,Boston Celtics,Alex Hannum,Red Auerbach,East
1959,Boston Celtics,0-4,Minneapolis Lakers,Boston Celtics,John Kundla,Red Auerbach,East
1960,Boston Celtics,3-4,St. Louis Hawks,Boston Celtics,Ed Macauley,Red Auerbach,East
1961,Boston Celtics,1-4,St. Louis Hawks,Boston Celtics,Paul Seymour,Red Auerbach,East
1962,Boston Celtics,3-4,Los Angeles Lakers,Boston Celtics,Fred Schaus,Red Auerbach,East
1963,Boston Celtics,2-4,Los Angeles Lakers,Boston Celtics,Fred Schaus,Red Auerbach,East
1964,Boston Celtics,1-4,San Francisco Warriors,Boston Celtics,Alex Hannum,Red Auerbach,East
1965,Boston Celtics,1-4,Los Angeles Lakers,Boston Celtics,Fred Schaus,Red Auerbach,East
1966,Boston Celtics,3-4,Los Angeles Lakers,Boston Celtics,Fred Schaus,Red Auerbach,East
1967,Philadelphia 76ers,2-4,San Francisco Warriors,Philadelphia 76ers,Bill Sharman,Alex Hannum,East
1968,Boston Celtics,2-4,Los Angeles Lakers,Boston Celtics,Butch van Breda Kolff,Bill Russel,East
1969,Boston Celtics,3-4,Los Angeles Lakers,Boston Celtics,Butch van Breda Kolff,Bill Russel,West
1970,New York Knicks,3-4,Los Angeles Lakers,New York Knicks,Joe Mullaney,Red Holzman,East
1971,Milwaukee Bucks,4-0,Milwaukee Bucks,Baltimore Bullets,Larry Costello,Gene Shue,West
1972,Los Angeles Lakers,4-1,Los Angeles Lakers,New York Knicks,Bill Sharman,Red Holzman,West
1973,New York Knicks,1-4,Los Angeles Lakers,New York Knicks,Bill Sharman,Red Holzman,West
1974,Boston Celtics,3-4,Milwaukee Bucks,Boston Celtics,Larry Costello,Tom Heinsohn,West
1975,Golden State Warriors,4-0,Golden State Warriors,Washington Bullets,Al Attles,K. C. Jones,East
1976,Boston Celtics,2-4,Phoenix Suns,Boston Celtics,John MacLeod,Tom Heinsohn,East
1977,Portland Trail Blazers,4-2,Portland Trail Blazers,Philadelphia 76ers,Jack Ramsay,Gene Shue,East
1978,Washington Bullets,3-4,Seattle SuperSonics,Washington Bullets,Lenny Wilkens,Dick Motta ,West
1979,Seattle SuperSonics,4-1,Seattle SuperSonics,Washington Bullets,Lenny Wilkens,Dick Motta ,East
1980,Los Angeles Lakers,4-2,Los Angeles Lakers,Philadelphia 76ers,Paul Westhead,Billy Cunningham,West
1981,Boston Celtics,2-4,Houston Rockets,Boston Celtics,Del Harris,Bill Fitch,East
1982,Los Angeles Lakers,4-2,Los Angeles Lakers,Philadelphia 76ers,Pat Riley,Billy Cunningham,East
1983,Philadelphia 76ers,0-4,Los Angeles Lakers,Philadelphia 76ers,Pat Riley,Billy Cunningham,East
1984,Boston Celtics,3-4,Los Angeles Lakers,Boston Celtics,Pat Riley,K. C. Jones,East
1985,Los Angeles Lakers,4-2,Los Angeles Lakers,Boston Celtics,Pat Riley,K. C. Jones,East
1986,Boston Celtics,2-4,Houston Rockets,Boston Celtics,Bill Firch,K. C. Jones,East
1987,Los Angeles Lakers,4-2,Los Angeles Lakers,Boston Celtics,Pat Riley,K. C. Jones,West
1988,Los Angeles Lakers,4-3,Los Angeles Lakers,Detroit Pistons,Pat Riley,Chuck Daly,West
1989,Detroit Pistons,0-4,Los Angeles Lakers,Detroit Pistons,Pat Riley,Chuck Daly,East
1990,Detroit Pistons,1-4,Portland Trail Blazers,Detroit Pistons,Rick Adelman,Chuck Daly,East
1991,Chicago Bulls,1-4,Los Angeles Lakers,Chicago Bulls,Mike Dunleavy,Phil Jackon,East
1992,Chicago Bulls,2-4,Portland Trail Blazers,Chicago Bulls,Rick Adelman,Phil Jackon,East
1993,Chicago Bulls,2-4,Phoenix Suns,Chicago Bulls,Paul Westphal,Phil Jackon,West
1994,Houston Rockets,4-3,Houston Rockets,New York Knicks,Rudy Tomjanovich,Pat Riley,West
1995,Houston Rockets,4-0,Houston Rockets,Orlando Magic,Rudy Tomjanovich,Brian Hill,East
1996,Chicago Bulls,2-4,Seattle SuperSonics,Chicago Bulls,George Karl,Phil Jackon,East
1997,Chicago Bulls,2-4,Utah Jazz,Chicago Bulls,Jerry Sloan,Phil Jackon,East
1998,Chicago Bulls,2-4,Utah Jazz,Chicago Bulls,Jerry Sloan,Phil Jackon,West
1999,San Antonio Spurs,4-1,San Antonio Spurs,New York Knicks,Gregg Popovich,Jeff Van Gundy,West
2000,Los Angeles Lakers,4-2,Los Angeles Lakers,Indiana Pacers,Phil Jackson,Larry Bird,West
2001,Los Angeles Lakers,4-1,Los Angeles Lakers,Philadelphia 76ers,Phil Jackson,Larry Brown,West
2002,Los Angeles Lakers,4-0,Los Angeles Lakers,New Jersey Nets,Phil Jackson,Byron Scott,West
2003,San Antonio Spurs,4-2,San Antonio Spurs,New Jersey Nets,Gregg Popovich,Byron Scott,West
2004,Detroit Pistons,1-4,Los Angeles Lakers,Detroit Pistons,Phil Jackson,Larry Brown,West
2005,San Antonio Spurs,4-3,San Antonio Spurs,Detroit Pistons,Gregg Popovich,Larry Brown,West
2006,Miami Heat,2-4,Dallas Mavericks,Miami Heat,Avery Johnson,Pat Riley,West
2007,San Antonio Spurs,4-0,San Antonio Spurs,Cleveland Cavaliers,Gregg Popovich,Mike Brown,West
2008,Boston Celtics,2-4,Los Angeles Lakers,Boston Celtics,Phil Jackson,Doc Rivers,East
2009,Los Angeles Lakers,4-1,Los Angeles Lakers,Orlando Magic,Phil Jackson,Stan Van Gundy,West
2010,Los Angeles Lakers,4-3,Los Angeles Lakers,Boston Celtics,Phil Jackson,Doc Rivers,West
2011,Dallas Mavericks,4-2,Dallas Mavericks,Miami Heat,Rick Carlisle,Erik Spoelstra,East
2012,Miami Heat,1-4,Oklahoma City Thunder,Miami Heat,Scott Brooks,Erik Spoelstra,West
2013,Miami Heat,3-4,San Antonio Spurs,Miami Heat,Gregg Popovich,Erik Spoelstra,East
2014,San Antonio Spurs,4-1,San Antonio Spurs,Miami Heat,Gregg Popovich,Erik Spoelstra,West
2015,Golden State Warriors,4-2,Golden State Warriors,Cleveland Cavaliers,Steve Kerr,David Blatt,West
2016,Cleveland Cavaliers,3-4,Golden State Warriors,Cleveland Cavaliers,Steve Kerr,Tyronn Lue,West
2017,Golden State Warriors,4-1,Golden State Warriors,Cleveland Cavaliers,Steve Kerr,Tyronn Lue,West
2018,Golden State Warriors,4-0,Golden State Warriors,Cleveland Cavaliers,Steve Kerr,Tyronn Lue,West
2019,Toronto Raptors,2-4,Golden State Warriors,Toronto Raptors,Steve Kerr,Nick Nurse,East
2020,Los Angeles Lakers,4-2,Los Angeles Lakers,Miami Heat,Frank Vogel,Erik Spoelstra,West
2021,Milwaukee Bucks,2-4,Phoenix Suns,Milwaukee Bucks,Monty Williams,Mike Budenholzer,West
2022,Golden State Warriors,4-2,Golden State Warriors,Boston Celtics,Steve Kerr,Ime Udoka,West
