super_opeid,name,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,k_married_cond_parq1,k_married_cond_parq2,k_married_cond_parq3,k_married_cond_parq4,k_married_cond_parq5,shareimputed,imputed
30955,ASA Institute Of Business & Computer Technology,3,11,Two-year for-profit,2,1,NY,19400,New York,36047,Kings,0,275,.79878789,.1836585,.020033944,.000018909488,35390.39680397727,29000,.2742091062394055,.44357517,.32679018,.14371076,.05970677,.026217192,.013222894,.0069649424,.00041586254,.00010300343,.44333166,24916.14900213068,19700,23600,.16062267,.1712801,.29721653,.25163236,.21002053,.069850542,.033992793,.013031097,.0019814558,.41828805,.45980033,.45908639,.49794537,.45103508,.17915319,.33957693,.24377847,.19232664,.045164712,.16552109,.27243546,.2694793,.20787431,.084689856,.19135213,.22408453,.27545071,.23907514,.070037611,.12893395,.29359123,.1760198,.28581092,.11564407,.096270703,.29853204,.20369349,.20427091,.19723283,.000042629727,.0049220049,.00069532305,.0024358861,.0041468646,.14872099,.20647034,.19292387,.24838631,.29223156,.75272727,1
3537,Abilene Christian University,2,6,Selective private,1,3,TX,32501,Abilene,48441,Taylor,0,838.6666666666666,.55961841,.71257001,.014363836,.0019969451,138760.9698057433,101000,.6836863593190956,.052441355,.10103199,.16393574,.25824007,.42435089,.23586491,.12660472,.023049099,.00084190443,.59242207,50874.14613349563,40100,44400,.1212462,.1400653,.13294759,.17327738,.24644408,.30726567,.17170201,.10058448,.028367676,.61133856,.5487659,.55333102,.59738696,.61255848,.094144821,.10862718,.25599816,.26732701,.27390283,.18618762,.12963904,.2034312,.23309059,.24765149,.14365052,.15883599,.20837456,.2874772,.20166177,.13800208,.13981503,.17422011,.23329166,.31467104,.13462961,.1225604,.14174302,.2391946,.3618724,.038079586,.010980259,.017191675,.016094882,.043093346,.64650488,.6595313,.68103665,.73097068,.73434627,0,0
1541,Abraham Baldwin Agricultural College,1,7,Nonselective four-year public,1,3,GA,8503,Valdosta,13277,Tift,0,679.3333333333334,.44160941,.58075023,.014857335,.00099537033,80366.66126794038,66000,.5254059816483075,.15455516,.18715858,.22549702,.23676255,.19602653,.072930537,.033044621,.0025202818,.00060852652,.53531063,35346.92996925601,32500,35400,.11306878,.12194975,.1790269,.25532883,.27395719,.16973718,.063980781,.02852213,.0063849776,.47152263,.51417655,.54793787,.56494147,.55546802,.17649074,.23979603,.30101529,.18656828,.096129663,.11401461,.2289665,.28606683,.22847596,.1424761,.11998492,.13451687,.27231202,.31154609,.16164011,.092711516,.16680454,.23359773,.30565181,.20123436,.12409817,.14939772,.1966711,.30476099,.22507203,.0064402274,.0074744346,.0020436032,.0036637569,.013582016,.43063459,.4963887,.58608449,.69739872,.63262773,0,0
7531,Academy Of Art University,3,10,Four-year for-profit,1,4,CA,37800,San Francisco,6075,San Francisco,0,495.6666666666667,.4142569,.34508148,.01635739,.0013608988,166594.9696116342,92300,.649209833337544,.093524233,.12291715,.1753495,.21152514,.39668405,.24404958,.14739551,.035681199,.0033683486,.51605916,39988.01720641392,27400,36300,.18639259,.20586628,.19378209,.18086788,.15814623,.26133758,.16304491,.087273344,.014030807,.46328181,.50448275,.50762242,.5176,.53499699,.26703009,.18542577,.20629373,.16635033,.17490003,.20905481,.19157112,.21893194,.13638723,.24405494,.19975942,.22083299,.18134363,.14692578,.25113821,.1993628,.192634,.1671838,.1889049,.25191447,.19662528,.18509193,.17016526,.15151256,.29660493,.014551297,.011080111,.0037515434,.0030415235,.025226077,.26182237,.29487798,.32891592,.37458456,.37168089,0,0
1345,Adams State University,1,5,Selective public,1,4,CO,34805,Alamosa,8003,Alamosa,0,393.3333333333333,.50084746,.56966305,.018844681,.000031015468,76121.81634004238,67200,.5404712352712275,.12922439,.1855039,.24842876,.26087633,.17596665,.064278461,.024887405,.0031467152,0,.55242109,38010.81340704449,34100,36600,.11228829,.12124767,.15907787,.24386188,.27226484,.20354776,.078580491,.030641153,.0058325916,.49757031,.53208673,.56378084,.55884016,.58858407,.169993,.20166962,.21881245,.26369584,.14582914,.12888451,.18362787,.23587221,.28918275,.16243257,.10558637,.14734074,.26411721,.28090703,.20204861,.117544,.15930827,.22771633,.29199779,.20343369,.10500124,.11814803,.26602009,.21926692,.29156369,.00024001249,.000054899006,.0065161018,.0030827927,.019142136,.48972049,.56959015,.56577599,.58763808,.60728627,0,0
2666,Adelphi University,2,6,Selective private,1,1,NY,19400,New York,36059,Nassau,0,509,.71840209,.54553699,.032585073,.0026125547,130723.7409084398,96300,.6488922144668744,.087048024,.12853861,.15643388,.22986455,.39811498,.2053698,.10392397,.023863256,.0019367096,.65645194,54029.66685596758,50700,55000,.092774801,.10051541,.11300756,.14764461,.19315448,.445678,.24363674,.10178581,.014892664,.63396782,.62208229,.66312301,.65213352,.67233694,.098475181,.1251636,.19384955,.20817724,.37433442,.12819031,.11394597,.1512318,.19388846,.41274351,.090565264,.10661294,.1711234,.19665042,.43504792,.087775581,.13160761,.16251582,.19001622,.42808473,.10329168,.10181998,.1185716,.19007106,.48624572,.030012798,0,.012568131,.019824557,.014460809,.47028729,.42311192,.59426481,.54417533,.58315676,0,0
2860,Adirondack Community College - SUNY Office Of Community Colleges,1,9,Two-year (public and private not-for-profit),2,1,NY,18600,Albany,36113,Warren,0,663,.5263952,.48989117,.0099409306,.000028334616,75699.25195607089,69900,.5349966178232848,.11428819,.17760713,.25521886,.29444924,.1584366,.045389868,.015902614,.0019229873,.000092338545,.52692991,33735.56870011627,30300,33300,.10809986,.12090603,.20071687,.25119588,.25800961,.16917166,.05964379,.024216836,.0031722626,.4862791,.51428068,.50920004,.55884093,.53968793,.14055271,.2546151,.27408123,.24376971,.086981259,.13001651,.21152487,.25721031,.24916261,.15208569,.13742936,.20859195,.26899543,.22390676,.1610765,.1044997,.17422518,.24207838,.2861701,.19302665,.10039492,.18626994,.21621726,.28079858,.21631935,.00024792252,.00042337002,.003976956,.0037208591,.0060474407,.4659411,.43920758,.48725158,.52221543,.50816208,0,0
2234,Adrian College,2,6,Selective private,1,2,MI,11500,Jackson,26091,Lenawee,0,240.3333333333333,.55478501,.65137172,.0095646288,.000042307722,113708.1117154993,88500,.6431393285234163,.060760289,.11535594,.20081325,.28132689,.34174353,.1497259,.072932914,.011504383,.0013226749,.60715014,43944.55248786408,40300,42700,.082058199,.085792035,.12808184,.21049739,.30366662,.27196202,.11347157,.038714342,.0035677333,.54885733,.60171163,.5991171,.59635538,.63295698,.15087558,.16439058,.21269469,.31462336,.15741579,.083161861,.14765577,.20696786,.33797786,.22423662,.073973455,.1153337,.24982749,.3447499,.21611543,.09041439,.13870628,.23076543,.26504341,.27507061,.078247949,.113764,.17150237,.2977908,.33869484,.00069630548,0,.0067530964,0,.0063477848,.43425807,.68422318,.60610479,.68589699,.67706251,0,0
11484,Advanced Institute Of Hair Design,3,11,Two-year for-profit,2,2,WI,24100,Milwaukee,55079,Milwaukee,0,58,.99137932,.58200473,.020172881,.000097403383,90962.75,78100,.6210068662961324,.025902087,.11116548,.25450274,.40800014,.20042956,.094894953,.015591938,.0014379369,.00083524967,.45323527,27012.46614583333,24300,24600,.12049438,.12270878,.27942181,.3455011,.1843133,.068055019,.0059152492,.0014649497,.0010896478,.59814304,.40780908,.42056233,.48864838,.42910317,.082549147,0,.01994345,.11869445,.77881294,.072769679,.40340728,.4097611,.076348215,.037713815,.17467886,.22039878,.37141436,.19375487,.039753128,.029537598,.32553586,.42468721,.18073063,.039508641,.27926779,.22784095,.15783507,.24797896,.087077215,.0037604454,.0057766829,0,.000020556739,.001704786,.4841139,.36654419,.57747388,.69137925,.49726489,1,1
31275,Advanced Technology Institute,3,11,Two-year for-profit,2,3,VA,2000,Virginia Beach,51810,Virginia Beach City,0,127.6666666666667,.039164491,.40728205,.031438664,.000064966553,69400.14868227807,57200,.4815929762377129,.15953134,.21892074,.26273358,.2235292,.13528517,.027271068,.010344932,.0024579081,5.7973730e-06,.54722869,33265.16236435215,33900,36200,.11351752,.1238795,.15231359,.22978204,.30947971,.18454519,.055439092,.016487939,.0038512966,.52849734,.50868702,.54800522,.59398943,.55291599,.11510123,.21521592,.1805242,.29208973,.19706888,.15049015,.20535231,.18106706,.32645312,.1366374,.11230531,.09376099,.30635959,.37525505,.11231909,.13204618,.097415306,.22276509,.27886382,.2689096,.10015348,.19673033,.2295742,.22536537,.24817653,.00040723381,.00033922988,.00047457157,.012107226,.0065126214,.2668047,.36549169,.43194029,.46527767,.49684882,0,0
