gender,oscar_no,oscar_yr,name,movie,age,birth_pl,birth_mo,birth_d,birth_y
female,1,1929,Janet Gaynor,7th Heaven,22,Pennsylvania,10,6,1906
female,2,1930,Mary Pickford,Coquette,37,Canada,4,8,1892
female,3,1931,Norma Shearer,The Divorcee,28,Canada,8,10,1902
female,4,1932,Marie Dressler,Min and Bill,63,Canada,11,9,1868
female,5,1933,Helen Hayes,The Sin of Madelon Claudet,32,Washington DC,10,10,1900
female,6,1934,Katharine Hepburn,Morning Glory,26,Connecticut,5,12,1907
female,7,1935,Claudette Colbert,It Happened One Night,31,France,9,13,1903
female,8,1936,Bette Davis,Dangerous,27,Massachusetts,4,5,1908
female,9,1937,Luise Rainer,The Great Zeigfeld,26,Germany,1,12,1910
female,10,1938,Luise Rainer,The Good Earth,27,Germany,1,12,1910
female,11,1939,Bette Davis,Jezebel,30,Massachusetts,4,5,1908
female,12,1940,Vivien Leigh,Gone With the Wind,26,India,11,5,1913
female,13,1941,Ginger Rogers,Kitty Foyle,29,Missouri,7,16,1911
female,14,1942,Joan Fontaine,Suspicion,24,Japan,10,22,1917
female,15,1943,Greer Garson,Mrs. Miniver,38,England,9,29,1904
female,16,1944,Jennifer Jones,The Song of Bernadette,24,Oklahoma,3,2,1919
female,17,1945,Ingrid Bergman,Gaslight,29,Sweden,8,29,1915
female,18,1946,Joan Crawford,Mildred Pierce,33,Texas,3,23,1912
female,19,1947,Olivia de Havilland,To Each His Own,30,Japan,7,1,1916
female,20,1948,Loretta Young,The Farmer's Daughter,34,Utah,1,6,1913
female,21,1949,Jane Wyman,Johnny Belinda,34,Missouri,1,4,1914
female,22,1950,Olivia de Havilland,The Heiress,33,Japan,7,1,1916
female,23,1951,Judy Holliday,Born Yesterday,29,New York,6,21,1921
female,24,1952,Vivien Leigh,A Streetcar Named Desire,38,India,11,5,1913
female,25,1953,Shirley Booth,"Come Back, Little Sheba",54,New York,8,30,1898
female,26,1954,Audrey Hepburn,Roman Holiday,24,Belgium,5,4,1929
female,27,1955,Grace Kelly,The Country Girl,25,Philly,11,12,1929
female,28,1956,Anna Magnani,The Rose Tattoo,47,Italy,3,7,1908
female,29,1957,Ingrid Bergman,Anastasia,41,Sweden,8,29,1915
female,30,1958,Joanne Woodward,The Three Faces of Eve,27,Georgia,2,27,1930
female,31,1959,Susan Hayward,I Want to Live!,41,New York,6,30,1917
female,32,1960,Simone Signoret,Room at the Top,38,Germany,3,25,1921
female,33,1961,Elisabeth Taylor,Butterfield 8,28,England,2,27,1932
female,34,1962,Sophia Loren,Two Women,27,Italy,9,20,1934
female,35,1963,Anne Bancroft,The Miracle Worker,31,New York,9,17,1931
female,36,1964,Patricia Neal,Hud,37,Kentucky,1,20,1926
female,37,1965,Julie Andrews,Mary Poppins,29,England,10,1,1935
female,38,1966,Julie Christie,Darling,25,India,4,14,1940
female,39,1967,Elizabeth Taylor,Who's Afraid of Virginia Wolf,34,England,2,27,1932
female,40,1968,Katharine Hepburn,Guess Who's Coming to Dinner,60,Connecticut,5,12,1907
female,41,1969,Barbra Streisand,Funny Girl,26,New York,4,24,1942
female,41,1969,Katharine Hepburn,The Lion in Winter,61,Connecticut,5,12,1907
female,42,1970,Maggie Smith,The Prime of Miss Jean Brodie,35,England,12,28,1934
female,43,1971,Glenda Jackson,Women In Love,34,England,5,9,1936
