year,city,country_of_games,division,type,name,country_of_athlete,min,sec,time
1896,Athens,Greece,Men,Olympic,Edwin Flack,Australia,4,33.2,4.553333333
1900,Paris,France,Men,Olympic,Charles Bennett,Great Britain,4,6.2,4.103333333
1904,St Louis,USA,Men,Olympic,Jim Lightbody,USA,4,5.4,4.09
1908,London,United Kingdom,Men,Olympic,Mel Sheppard,USA,4,3.4,4.056666667
1912,Stockholm,Sweden,Men,Olympic,Arnold Jackson,Great Britain,3,56.8,3.946666667
1920,Antwerp,Belgium,Men,Olympic,Albert Hill,Great Britain,4,1.8,4.03
1924,Paris,France,Men,Olympic,Paavo Nurmi,Finland,3,53.6,3.893333333
1928,Amsterdam,Netherlands,Men,Olympic,Harri Larva,Finland,3,53.2,3.886666667
1932,Los Angeles,USA,Men,Olympic,Luigi Beccali,Italy,3,51.2,3.853333333
1936,Berlin,Germany,Men,Olympic,Jack Lovelock,New Zealand,3,47.8,3.796666667
1948,London,United Kingdom,Men,Olympic,Henry Eriksson,Sweden,3,49.8,3.83
1952,Helsinki,Finland,Men,Olympic,Josy Barthel,Luxembourg,3,45.2,3.753333333
1956,Melbourne,Australia,Men,Olympic,Ron Delany,Ireland,3,41.2,3.686666667
1960,Rome,Italy,Men,Olympic,Herb Elliott,Australia,3,35.6,3.593333333
1964,Tokyo,Japan,Men,Olympic,Peter Snell,New Zealand,3,38.1,3.635
1968,Mexico City,Mexico,men,Olympic,Kipchoge Keino,Kenya,3,34.91,3.581833333
1972,Munich,Germany,Men,Olympic,Pekka Vasala,Finland,3,36.3,3.605
1972,Munich,Germany,Women,Olympic,Lyudmila Bragina,Soviet Union,4,1.38,4.023
1976,Montreal,Canada,Men,Olympic,John Walker,New Zealand,3,39.17,3.652833333
1976,Montreal,Canada,Women,Olympic,Tatyana Kazankina,Soviet Union,4,5.48,4.091333333
1980,Moscow,Soviet Union,Men,Olympic,Sebastian Coe,Great Britain,3,38.4,3.64
1980,Moscow,Soviet Union,Women,Olympic,Tatyana Kazankina,Soviet Union,3,56.6,3.943333333
1984,Los Angeles,USA,Men,Olympic,Sebastian Coe,Great Britain,3,32.53,3.542166667
1984,New York,USA,Men,T11,Robert Matthews,Great Britain,4,18.73,4.312166667
1984,New York,USA,Men,T12,Sixten Berner,Sweden,4,15.28,4.254666667
1984,New York,USA,Men,T13,James Brown,Great Britain,4,14.51,4.241833333
1984,Los Angeles,USA,Women,Olympic,Gabriella Dorio,Italy,4,3.25,4.054166667
1984,New York,USA,Women,T11,Margaret Heger,Austria,5,37.6,5.626666667
1984,New York,USA,Women,T12,Christine Nicholas,Canada,5,34.12,5.568666667
1984,New York,USA,Women,T13,Halina Wozniak,Poland,5,14.35,5.239166667
1988,Seoul,S.Korea,Men,Olympic,Peter Rono,Kenya,3,35.96,3.599333333
1988,Seoul,S.Korea,Men,T11,Robert Matthews,Great Britain,4,9.75,4.1625
1988,Seoul,S.Korea,Men,T12,Mariano Ruiz,Spain,4,5.53,4.092166667
1988,Seoul,S.Korea,Men,T13,Anthony Hamilton,Great Britain,4,11.13,4.1855
1988,Seoul,S.Korea,Women,Olympic,Paula Ivan,Romania,3,53.96,3.899333333
1988,Seoul,S.Korea,Women,T11,Tamara Pankova,Unified Team,5,14.49,5.2415
1992,Barcelona,Spain,Men,Olympic,Fermín Cacho,Spain,3,40.12,3.668666667
1992,Barcelona,Spain,Men,T11,Paulo de Almeida Coelho,Portugal,4,17.82,4.297
1992,Barcelona,Spain,Men,T12,Neol Thatcher,Great Britain,3,56.33,3.938833333
1992,Barcelona,Spain,Men,T13,Christophe Carayon,France,4,2.24,4.037333333
1992,Barcelona,Spain,Women,Olympic,Hassiba Boulmerka,Algeria,3,55.3,3.921666667
1992,Barcelona,Spain,Women,T11,Pavla Valnickova,Czechoslovakia,5,8.03,5.133833333
1992,Barcelona,Spain,Women,T12,Rimma Batalova,Unified Team,4,47.86,4.797666667
1996,Atlanta,USA,Men,Olympic,Noureddine Morceli,Algeria,3,35.78,3.596333333
1996,Atlanta,USA,Men,T11,Paulo de Almeida Coelho,Portugal,4,8.52,4.142
1996,Atlanta,USA,Men,T12,Jose Antonio Sanchez,Spain,4,1.19,4.019833333
1996,Atlanta,USA,Men,T13,Said Gomez,Panama,3,57.53,3.958833333
