Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/22,AQS,370630015,3,5.3,ug/m3 LC,22,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/2/22,AQS,370630015,3,2.8,ug/m3 LC,12,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/3/22,AQS,370630015,3,2.3,ug/m3 LC,10,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/4/22,AQS,370630015,3,5.1,ug/m3 LC,21,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/5/22,AQS,370630015,3,8.5,ug/m3 LC,35,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/6/22,AQS,370630015,3,7,ug/m3 LC,29,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/7/22,AQS,370630015,3,3.6,ug/m3 LC,15,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/8/22,AQS,370630015,3,6.7,ug/m3 LC,28,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/9/22,AQS,370630015,3,6.7,ug/m3 LC,28,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/10/22,AQS,370630015,3,3.5,ug/m3 LC,15,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/11/22,AQS,370630015,3,5.9,ug/m3 LC,25,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/12/22,AQS,370630015,3,8.6,ug/m3 LC,36,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/13/22,AQS,370630015,3,11.8,ug/m3 LC,49,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/14/22,AQS,370630015,3,8.5,ug/m3 LC,35,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/15/22,AQS,370630015,3,6.7,ug/m3 LC,28,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/16/22,AQS,370630015,3,4.6,ug/m3 LC,19,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/17/22,AQS,370630015,3,4.6,ug/m3 LC,19,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
1/18/22,AQS,370630015,3,5.7,ug/m3 LC,24,Durham Armory,1,100,88101,PM2.5 - Local Conditions,20500,"Durham-Chapel Hill, NC",37,North Carolina,63,Durham,36.032955,-78.904037
