p_number,Heard_Before,TypeOfInfo,AmtOfInfo,Perceived_Ability,Manipulation_Check,technical_difficulties,technical_difficulties_description,gender,ethnic_1,ethnic_2,ethnic_3,ethnic_4,ethnic_5,ethnic_6,age,tried_before,fail_ac
1,1,1,1,5,5,0, ,1,0,0,1,0,0,0,33,1,1
2,1,1,1,1,1,0, ,2,0,0,0,0,1,0,25,2,0
3,1,1,1,5,4,0, ,1,0,0,1,0,0,0,21,1,0
4,1,2,2,2,7,0, ,1,0,0,0,0,1,0,30,2,0
5,1,1,2,2,7,0, ,2,0,0,0,0,1,0,37,2,0
6,1,3,1,1,2,0, ,1,0,0,0,0,1,0,47,2,0
7,1,1,2,4,3,0, ,1,0,0,0,0,0,1,19,2,0
8,1,2,2,4,5,0, ,1,0,0,0,0,1,0,26,2,1
9,1,2,1,2,4,0, ,2,0,0,0,0,1,0,35,2,0
10,1,2,1,2,4,0, ,2,0,0,0,0,1,0,35,1,0
11,1,1,2,5,6,0, ,1,0,1,0,0,0,0,40,2,0
12,1,3,1,1,1,0, ,1,0,0,0,0,1,0,25,2,0
13,1,3,1,1,1,0, ,2,0,0,0,0,1,0,49,2,0
14,1,2,2,2,6,0, ,2,0,0,0,0,1,0,46,2,0
15,1,1,1,1,1,0, ,2,0,0,0,0,1,0,44,2,1
16,1,2,2,2,6,0, ,1,0,0,0,0,1,0,45,2,0
17,1,1,2,2,3,0, ,2,0,0,0,0,1,0,33,2,0
18,1,3,2,5,4,0, ,2,0,0,1,0,1,0,21,2,1
19,1,3,1,2,2,0, ,2,0,0,0,0,1,0,32,2,0
20,1,2,2,1,7,0, ,2,0,0,0,0,1,0,71,2,0
21,1,3,2,3,3,0, ,2,0,0,0,0,1,0,42,2,0
22,1,2,1,6,6,0, ,1,0,0,0,0,1,0,46,2,0
23,1,3,2,2,1,0, ,1,0,0,0,0,1,0,33,2,0
24,1,3,1,5,1,0, ,1,0,0,0,0,1,0,55,2,0
25,1,3,2,3,1,0, ,2,0,0,0,0,1,0,39,1,0
26,1,3,2,5,4,0, ,1,0,0,0,0,1,0,25,1,0
27,1,2,1,7,5,0, ,2,0,0,0,0,1,0,45,2,0
28,1,1,1,3,4,0, ,1,0,0,0,0,1,0,29,1,0
29,1,1,1,5,2,0, ,1,0,0,0,0,1,0,51,1,0
30,1,2,1,3,6,0, ,1,0,0,0,0,1,0,58,2,0
31,1,1,1,7,3,1,video link disappeared quickly so I couldn't watch it.,1,0,0,0,0,1,0,66,1,0
32,1,1,1,1,1,0, ,1,0,0,0,0,1,0,26,2,0
33,1,1,2,1,1,0, ,2,0,0,0,0,1,0,63,2,0
34,1,2,2,2,6,0, ,2,0,0,0,0,1,0,22,2,0
35,1,3,2,3,1,0, ,2,1,0,0,0,0,0,29,2,0
36,1,1,2,4,7,0, ,2,0,0,0,0,1,0,28,2,0
37,1,2,2,3,1,0, ,1,0,0,0,0,1,0,23,2,0
38,1,2,1,3,2,0, ,2,0,0,0,0,1,0,37,2,0
39,1,2,1,7,6,0, ,2,0,0,0,0,1,0,29,1,0
40,1,3,1,2,1,0, ,2,1,0,0,0,0,0,26,2,0
41,1,1,1,6,6,0, ,1,0,0,0,0,1,0,36,1,0
42,1,3,1,1,1,0, ,1,1,0,0,0,0,0,30,2,0
43,1,1,2,4,5,0, ,2,0,0,0,0,1,0,36,2,0
44,1,3,2,1,2,0, ,2,1,0,0,0,0,0,33,2,0
45,1,1,1,1,1,0, ,2,0,0,0,0,1,0,59,2,0
46,1,1,2,2,7,0, ,1,0,0,0,0,1,0,65,2,0
47,1,2,2,3,5,0, ,1,0,0,0,0,1,0,31,2,0
48,1,3,2,1,1,0, ,2,0,0,0,0,1,0,39,2,0
49,1,2,1,2,2,0, ,1,0,0,0,0,1,0,33,2,0
50,1,2,2,1,5,0, ,2,0,0,0,0,1,0,36,2,0
51,1,2,2,2,6,0, ,2,0,0,1,0,0,0,53,2,0
52,1,1,1,5,4,0, ,1,0,1,0,0,0,0,29,2,0
53,1,2,2,2,6,0, ,1,0,0,0,0,1,0,30,2,0
54,1,3,1,5,1,0, ,2,0,0,0,0,1,0,26,1,0
55,1,2,1,3,2,0, ,1,0,0,0,0,1,0,21,2,0
56,1,3,2,1,2,0, ,2,0,0,0,0,1,0,54,2,0
57,1,3,1,2,1,0, ,1,0,0,0,0,1,0,30,2,0
58,1,1,2,4,6,0, ,2,0,1,0,1,1,0,40,2,0
59,1,2,1,5,5,0, ,2,0,0,0,0,1,0,55,2,0
60,1,1,2,5,7,0, ,2,0,1,0,0,0,0,23,2,0
61,1,1,1,3,5,0, ,2,0,0,0,0,1,0,27,2,0
62,1,3,2,2,2,0, ,1,0,0,0,0,1,0,22,2,0
63,1,2,2,2,2,0, ,2,0,0,0,0,1,0,38,2,0
64,1,3,1,1,1,0, ,2,0,0,0,0,1,0,29,2,0
65,1,2,1,1,3,0, ,2,0,0,0,0,1,0,33,2,0
66,1,1,2,6,6,0, ,2,0,1,0,0,1,0,27,2,0
67,1,3,1,5,2,0, ,1,0,1,0,0,0,0,24,2,0
68,1,2,1,6,4,0, ,2,0,0,0,0,1,0,30,2,0
69,1,3,1,1,1,0, ,1,0,0,0,0,1,0,28,2,0
70,1,1,2,3,6,0, ,1,0,0,0,0,1,0,30,2,0
71,1,3,2,2,5,0, ,1,0,1,0,0,0,0,26,2,0
72,1,3,1,3,2,0, ,1,0,0,0,0,1,0,36,2,0
73,1,1,1,3,2,0, ,1,0,0,0,0,1,0,23,2,0
74,1,2,2,2,3,0, ,2,0,0,0,0,1,0,35,2,0
75,1,3,2,1,5,0, ,1,0,0,1,0,0,0,28,2,0
76,1,3,1,1,6,0, ,2,0,0,0,0,1,0,51,2,1
77,1,3,1,1,1,0, ,1,0,0,1,0,0,0,28,2,0
78,1,2,2,2,3,0, ,1,0,0,0,0,1,0,37,1,0
79,1,2,2,7,1,0, ,2,0,1,0,0,0,0,31,1,1
80,1,3,2,2,1,0, ,2,0,0,0,0,1,0,62,1,0
81,1,1,1,5,6,0, ,2,0,0,0,0,1,0,28,2,0
82,1,3,2,1,1,0, ,2,0,0,0,0,1,0,21,2,0
83,1,1,1,2,1,0, ,1,0,0,0,0,1,0,27,2,0
84,1,3,2,1,2,0, ,1,0,0,0,0,1,0,28,2,0
85,1,2,1,5,1,0, ,2,0,0,0,0,1,0,42,2,0
86,1,3,1,2,1,0, ,1,0,0,0,1,1,0,57,1,0
87,1,1,1,5,3,0, ,2,0,0,0,0,1,0,27,2,0
88,1,1,2,3,5,0, ,2,0,0,0,0,1,0,25,2,1
89,1,2,2,3,3,0, ,1,0,0,0,0,1,0,24,1,1
90,1,2,1,4,3,0, ,2,1,0,0,0,0,0,23,2,0
91,1,2,2,6,5,1,just loading,2,0,0,0,0,1,0,44,1,1
92,1,1,2,4,7,0, ,1,0,0,0,0,1,0,66,2,0
93,1,2,2,4,3,0, ,1,0,0,0,0,1,0,26,2,0
94,1,3,2,3,1,0, ,2,0,0,0,0,1,0,60,2,0
95,1,2,1,3,4,0, ,2,0,0,0,0,1,0,32,2,0
96,2,3,1,6,2,0, ,1,0,0,0,0,1,0,29,2,0
97,1,1,2,5,5,0, ,1,0,0,0,0,1,0,24,2,0
98,1,3,1,2,1,1,Some of the imagoes did not load,1,0,0,0,0,1,0,31,2,1
99,1,1,1,1,7,0, ,1,0,0,0,0,1,0,23,2,0
100,1,3,2,1,1,0, ,2,0,0,0,0,1,0,24,2,0
101,1,1,2,4,7,0, ,1,0,0,0,0,1,0,30,2,0
102,1,3,2,3,4,0, ,1,0,0,0,0,1,0,32,2,0
103,1,3,1,1,1,0, ,1,0,0,0,0,1,0,35,2,0
104,1,1,1,2,3,0, ,1,0,0,0,0,1,0,37,2,0
105,1,2,1,5,4,0, ,2,0,0,0,0,1,0,44,1,0
106,1,3,2,3,5,0, ,1,0,0,0,0,1,0,49,1,0
107,1,2,1,3,1,0, ,1,0,0,0,0,1,0,46,2,0
108,1,1,2,3,6,0, ,2,0,0,0,0,1,0,34,2,0
109,1,3,1,2,1,0, ,2,0,0,0,0,1,0,52,2,0
110,1,3,1,6,6,0, ,1,0,0,0,0,1,0,23,2,1
111,1,1,1,2,1,1,"I'm not sure if it was intentional or not, but I only got to see about 1 second of the video before it automatically went to the next page.",1,0,0,0,0,1,0,32,2,0
112,1,1,1,5,2,0, ,2,0,0,0,0,1,0,62,2,0
113,1,1,1,3,5,0, ,2,0,0,0,0,1,0,46,2,0
114,1,2,1,3,4,0, ,1,0,0,0,0,1,0,29,1,0
115,1,2,2,1,6,0, ,2,0,0,0,0,1,0,32,2,0
116,1,3,2,1,1,0, ,2,0,0,0,0,1,0,55,1,0
117,1,1,1,2,4,0, ,2,1,0,0,0,0,0,28,1,0
118,1,2,2,2,7,0, ,1,0,0,0,0,1,0,26,2,0
119,1,3,1,1,4,0, ,2,0,0,0,0,1,0,27,2,0
120,1,1,2,5,5,0, ,1,0,0,0,0,1,0,47,2,0
121,1,2,1,1,2,0, ,2,0,0,1,0,0,0,34,2,0
122,1,1,2,5,4,0, ,1,0,0,1,0,0,0,22,2,1
123,1,2,1,3,2,0, ,1,0,0,0,0,1,0,24,2,0
124,1,2,2,3,7,0, ,1,0,0,1,0,0,0,67,2,0
125,1,2,2,3,6,0, ,2,0,0,0,0,1,0,22,1,0
126,1,1,1,2,1,1,Video ended before tablecloth was removed.,2,0,0,0,0,1,0,51,2,0
127,1,3,1,2,2,0, ,1,0,0,0,0,1,0,61,2,0
128,1,2,1,3,2,0, ,2,0,0,0,0,1,0,22,2,0
129,1,3,2,3,1,0, ,1,0,0,0,0,1,0,68,2,0
130,1,1,2,5,6,0, ,1,0,0,0,0,1,0,49,2,0
131,1,1,2,7,7,0, ,1,0,0,0,1,0,0,50,2,0
132,1,3,2,7,1,0, ,1,0,0,0,0,1,0,56,2,0
133,1,2,1,3,2,0, ,1,0,0,0,0,1,0,26,2,0
134,1,2,2,1,4,0, ,2,0,0,0,0,1,0,39,2,1
135,1,2,2,5,6,0, ,1,0,0,0,0,1,0,22,2,0
136,1,2,1,3,2,0, ,2,0,0,0,0,1,0,27,2,0
137,1,1,1,3,1,0, ,1,0,0,0,0,1,0,32,2,0
138,1,1,2,2,1,0, ,2,0,0,0,0,1,0,21,2,1
139,1,1,1,1,1,0, ,2,0,0,1,0,0,0,29,2,1
140,1,2,2,3,6,0, ,1,0,0,0,0,1,0,26,2,0
141,1,2,1,3,2,0, ,1,1,0,0,0,0,0,32,1,1
142,1,3,2,2,1,0, ,2,0,0,0,0,1,0,29,2,0
143,1,3,1,5,3,0, ,1,0,0,1,0,0,0,34,2,0
144,1,2,2,2,7,1,"only on my end, my connection started to slow down",2,1,0,0,0,0,0,61,2,0
145,1,1,2,2,5,0, ,2,0,0,0,0,1,0,34,2,0
146,1,1,1,1,1,0, ,2,0,0,0,0,1,0,28,2,0
