station,latitude,longitude,elevation,date,tmax,tmin,year,location
USC00240056,47.0091,-111.6741,1529.2,1950-01-01,39,-20,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-02,-9,-40,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-03,1,-40,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-04,8,-6,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-05,NA,NA,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-06,31,-2,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-07,40,26,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-08,38,2,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-09,34,-9,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-10,NA,NA,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-11,34,0,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-12,6,-28,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-13,-15,-34,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-14,NA,NA,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-15,NA,NA,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-16,10,-34,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-17,7,-42,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-18,20,2,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-19,18,-2,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-20,50,1,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-21,50,42,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-22,46,36,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-23,40,-15,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-24,-10,-31,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-26,20,-38,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-27,26,-10,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-28,18,-16,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-29,5,-26,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-30,6,-28,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-01-31,9,-24,1950,"ADEL, MT US"
USC00240056,47.0091,-111.6741,1529.2,1950-02-01,10,-8,1950,"ADEL, MT US"
