"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-01",,"53","12","12"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-02",,"14","-1","5"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-03",,"39","5","13"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-04",,"51","13","23"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-05",,"56","23","23"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-06",,"51","7","7"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-07",,"38","7","27"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-08",,"69","27","35"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-09",,"67","22","23"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-10",,"44","17","18"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-11",,"53","18",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-12",,"55","22","22"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-13",,"62","22",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-14",,"63","30","30"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-15",,"61","19","19"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-16",,"43","15","28"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-17",,"62","18","18"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-18",,"59","18","29"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-19",,"66","29",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-20",,"33","12",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-21",,"30","12","16"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-22",,"46","16",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-23",,"43","23",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-24",,"52","21",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-25",,"54","15","15"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-26",,"38","15",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-27",,"32","16",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-28",,"41","13","15"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-29",,"50","6",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-30",,"64","18","22"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-01-31",,"54","22","25"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-02-01",,"63","25",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-02-02",,"40","14",
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-02-03",,"15","0","3"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-02-04",,"15","-8","6"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-02-05",,"35","6","13"
