year,region,voting_eligible_population,total_ballots_counted,highest_office,percent_total_ballots_counted,percent_highest_office
2014,United States,227157964.00,83262122.00,81687059.00,0.366538423,0.359604645
2014,Alabama,3588783.00,1191274.00,1180413.00,0.331943726,0.328917352
2014,Alaska,520562.00,285431.00,282382.00,0.548313169,0.542456038
2014,Arizona,4510186.00,1537671.00,1506416.00,0.340932946,0.334003077
2014,Arkansas,2117881.00,852642.00,848592.00,0.402592025,0.400679736
2014,California,24440416.00,7513972.00,7317581.00,0.30744043,0.299404928
2014,Colorado,3800664.00,2080071.00,2041020.00,0.547291473,0.53701669
2014,Connecticut,2577311.00,1096556.00,1089880.00,0.425465146,0.422874849
2014,Delaware,681526.00,238110.00,234038.00,0.34937772,0.343402893
2014,District of Columbia,495899.00,177176.00,175071.00,0.35728243,0.353037615
2014,Florida,13914216.00,6026802.00,5951561.00,0.433139891,0.4277324
2014,Georgia,6725041.00,2596947.00,2567761.00,0.386160768,0.381820869
2014,Hawaii,1012123.00,369554.00,366125.00,0.365127559,0.36173963
2014,Idaho,1119882.00,445307.00,439830.00,0.39763743,0.392746736
2014,Illinois,9028752.00,3680417.00,3627690.00,0.407632971,0.401793072
2014,Indiana,4829510.00,1387622.00,1341814.00,0.287321488,0.277836468
2014,Iowa,2269179.00,1142284.00,1129700.00,0.503390874,0.497845256
2014,Kansas,2048164.00,887023.00,869502.00,0.433082019,0.424527528
2014,Kentucky,3247300.00,1459409.00,1435868.00,0.449422289,0.442172882
2014,Louisiana,3349433.00,1503975.00,1472039.00,0.44902376,0.439489012
2014,Maine,1051557.00,616996.00,611255.00,0.586745179,0.581285655
2014,Maryland,4154546.00,1745104.00,1733177.00,0.42004686,0.417176028
2014,Massachusetts,4896296.00,2186789.00,2158326.00,0.446621078,0.440807909
2014,Michigan,7383958.00,3188956.00,3156531.00,0.431876238,0.427484961
2014,Minnesota,3935121.00,1992613.00,1981511.00,0.506366386,0.503545126
2014,Mississippi,2181131.00,,631858.00,0,0.289692825
2014,Missouri,4493722.00,1509025.00,1426303.00,0.335807377,0.317399029
2014,Montana,787748.00,373831.00,369826.00,0.474556584,0.469472471
2014,Nebraska,1334453.00,552115.00,539891.00,0.413738813,0.404578505
2014,Nevada,1867644.00,552546.00,547349.00,0.295851886,0.293069236
2014,New Hampshire,1025862.00,495565.00,488159.00,0.483071797,0.475852503
2014,New Jersey,6014127.00,1955042.00,1869535.00,0.325074944,0.310857253
2014,New Mexico,1449503.00,,512805.00,0,0.353779882
2014,New York,13553426.00,3930310.00,3819010.00,0.289986458,0.281774512
2014,North Carolina,7143737.00,2939767.00,2915281.00,0.411516689,0.408089072
2014,North Dakota,567221.00,255128.00,248670.00,0.449785886,0.438400553
2014,Ohio,8701243.00,3149876.00,3055913.00,0.362002992,0.35120419
2014,Oklahoma,2755091.00,825607.00,824831.00,0.299665964,0.299384303
2014,Oregon,2887517.00,1541782.00,1469717.00,0.533947333,0.508989904
2014,Pennsylvania,9689491.00,3535576.00,3495866.00,0.364887691,0.360789437
2014,Rhode Island,776286.00,329212.00,324055.00,0.424085968,0.417442798
2014,South Carolina,3584461.00,1261611.00,1246301.00,0.351966725,0.347695511
2014,South Dakota,630989.00,282291.00,279412.00,0.447378639,0.44281596
2014,Tennessee,4799476.00,1430117.00,1374065.00,0.29797357,0.286294796
2014,Texas,16675420.00,,4727208.00,0,0.283483594
2014,Utah,1905801.00,577973.00,565970.00,0.303270383,0.296972244
2014,Vermont,495884.00,202445.00,193087.00,0.40825072,0.389379371
2014,Virginia,5962456.00,2194346.00,2184473.00,0.368027202,0.366371341
